,name,alt_name,ra,dec,vmag,class,bv_color,ri_code,ri_color,spect_code,ub_color,spectral_type
4285,HR4929,38    Com,195.29,17.1231,5.96,STAR K0III,0.96,,,,,G
4286,HR493,107    Psc,25.6242,20.2686,5.24,STAR K1V,0.84,,0.43,,0.49,K
4287,HR4930,,195.7717,-71.4761,6.03,STAR B1III,0.05,,,v,-0.87,B
4288,HR4931,78    UMa,195.1825,56.3664,4.93,STAR F2V,0.36,,0.21,,0.01,F
4289,HR4932,47Eps Vir,195.5442,10.9592,2.83,STAR G8III,0.94,,0.45,,0.73,G
4290,HR4933,Xi 1Cen,195.8883,-49.5272,4.85,STAR A0V,0.02,,,,0.03,A
4291,HR4934,,195.445,63.6103,6.0,STAR F6V,0.41,,,,0.02,F
4292,HR4935,,195.9421,-20.5831,5.58,STAR F7V,0.56,,,,0.07,F
4293,HR4936,,195.6683,59.7161,6.53,STAR A3V,0.05,,0.03,,0.06,A
4294,HR4937,48    Vir,195.9767,-3.6633,6.59,STAR F0V,0.29,,,,0.11,A
4295,HR4938,,196.2004,-41.1967,6.26,STAR M3III,1.68,,,,1.83,M
4296,HR4939,,196.3783,-52.115,6.43,STAR M1III,1.7,,,,1.99,M
4297,HR494,,25.3638,-38.1331,6.17,STAR F2V,0.42,,,,0.04,F
4298,HR4940,,196.5696,-48.4636,4.71,STAR B5V,-0.14,,-0.14,,-0.58,B
4299,HR4941,,196.6463,-41.5886,5.59,STAR K0II,1.05,,,,,K
4300,HR4942,Xi 2Cen,196.7275,-49.9061,4.27,STAR B1V,-0.19,,-0.2,,-0.79,B
4301,HR4943,14    CVn,196.4354,35.7989,5.25,STAR B9V,-0.08,,,,-0.2,B
4302,HR4944,,196.8508,-59.8606,5.99,STAR F8IV,0.48,,,,0.12,B
4303,HR4945,,196.4679,45.2686,5.63,STAR K1III,1.13,,,,,K
4304,HR4946,39    Com,196.5883,21.1533,5.99,STAR F4V,0.39,,,,0.0,F
4305,HR4947,,196.7263,-35.8619,6.54,STAR A0IV,-0.02,,,,-0.02,A
4306,HR4948,,196.5425,29.0294,6.54,STAR A3IV,0.05,,,,0.09,A
4307,HR4949,40    Com,196.5942,22.6161,5.6,STAR M5III,1.59,,1.81,,1.63,M
4308,HR495,,25.8188,45.3222,6.34,STAR K2IV,1.01,,0.48,,0.92,K
4309,HR4951,,196.9096,-53.4597,5.71,STAR B8V,-0.07,,,,-0.27,B
4310,HR4953,,196.5946,62.0419,6.14,STAR G7III,0.99,,,,0.65,G
4311,HR4954,41    Com,196.7946,27.6247,4.8,STAR K5III,1.48,,0.81,,1.85,K
4312,HR4955,49    Vir,196.9742,-10.7403,5.19,STAR K2III,1.14,,0.58,,1.12,K
4313,HR4956,,196.9733,27.5558,6.19,STAR K4III,1.36,E,0.48,,1.64,K
4314,HR4957,,197.1354,-8.9844,5.55,STAR K3III,1.18,,,,1.18,K
4315,HR4958,45Psi Hya,197.2637,-23.1181,4.95,STAR K1III,1.05,,,,0.93,K
4316,HR4959,,197.31,-9.5383,6.32,STAR K0,1.02,,,,0.79,K
4317,HR496,Phi Per,25.915,50.6886,4.07,STAR B2V,-0.04,,0.02,,-0.93,B
4318,HR4960,,197.3017,10.0222,5.78,STAR K0III,1.0,,,,,K
4319,HR4961,50    Vir,197.4388,-10.3294,5.94,STAR K5III,1.49,,,,1.69,K
4320,HR4962,,197.4492,16.8486,5.91,STAR K5III,1.45,,,,1.65,K
4321,HR4963,51The Vir,197.4875,-5.5389,4.38,STAR A1IV,-0.01,,0.0,,-0.01,A
4322,HR4964,,197.4113,37.4231,6.02,STAR K3III,1.15,,,,,K
4323,HR4965,,197.7433,-52.5669,6.06,STAR A0,-0.09,,,,-0.38,A
4324,HR4966,,197.965,-69.9419,5.91,STAR F3IV,0.42,,,,-0.03,F
4325,HR4967,15    CVn,197.425,38.5339,6.28,STAR B7III,-0.12,,,,-0.48,B
4326,HR4968,42Alp Com,197.4971,17.5294,5.22,STAR F5V,0.45,,,,-0.06,F
4327,HR4969,42Alp Com,197.4971,17.5294,5.22,STAR F5V,,,,,,F
4328,HR497,Pi  Scl,25.5358,-32.3269,5.25,STAR K0III,1.05,,0.54,,0.79,K
4329,HR4970,,197.7867,-42.2331,5.79,STAR F7IV,0.52,,,,,F
4330,HR4971,17    CVn,197.5133,38.4989,5.91,STAR A9III,0.29,,,,,A
4331,HR4972,,197.9713,-63.3028,6.33,STAR A8II,0.44,,,,0.35,A
4332,HR4973,,197.8467,-43.3689,5.25,STAR K1III,1.05,E,0.36,,0.92,K
4333,HR4974,,197.4592,62.2292,6.54,STAR A1V,-0.02,,,,-0.02,A
4334,HR4975,,198.0725,-59.9208,4.6,STAR B8V,-0.08,,-0.09,,-0.38,B
4335,HR4976,,198.5717,-78.4472,5.85,STAR F8I,1.07,,,,0.72,G
4336,HR4977,,198.2038,-66.2269,5.9,STAR A0V,0.06,,,,0.04,A
4337,HR4978,,197.9133,-26.5517,6.5,STAR A5V,0.19,,,,,A
4338,HR4979,,198.0133,-37.8031,4.85,STAR G3V,0.7,,0.36,,0.31,G
4339,HR498,,25.5125,-36.8325,5.72,STAR A1V,-0.01,,-0.01,,,A
4340,HR4980,,198.2333,-59.8167,6.16,STAR G0V,0.6,,,,0.08,G
4341,HR4981,53    Vir,198.0146,-16.1986,5.04,STAR F5III,0.46,,,,0.02,F
4342,HR4982,,198.2121,-42.6997,6.22,STAR K0III,1.06,,,,,K
4343,HR4983,43Bet Com,197.9683,27.8781,4.26,STAR F9V,0.57,,0.3,,0.07,F
4344,HR4984,,198.035,24.2581,6.33,STAR K1III,0.98,,,,,K
4345,HR4985,,198.3479,-50.7,5.89,STAR B9V,-0.02,,,,,B
4346,HR4986,,198.1371,11.5561,5.77,STAR M0III,1.51,,,,,M
4347,HR4987,,198.1496,18.7517,6.53,STAR G8III,0.88,,,,,G
4348,HR4988,,198.5504,-58.6839,5.89,STAR K0III,1.08,,,,,K
4349,HR4989,,198.5617,-59.1033,4.92,STAR F7IV,0.48,,0.27,,,F
4350,HR499,,26.0746,57.5364,6.21,STAR A3V,0.1,,,,0.03,A
4351,HR4990,54    Vir,198.3617,-18.8267,6.28,STAR B9III,0.09,,,,0.01,B
4352,HR4991,,198.4896,-43.1389,6.16,STAR K4III,1.38,,,,1.62,K
4353,HR4992,,198.3017,18.7269,6.11,STAR G8III,1.2,,,,,K
4354,HR4993,Eta Mus,198.8121,-67.8944,4.8,STAR B8V,-0.08,,-0.08,,-0.35,B
4355,HR4994,,198.8571,-69.6797,6.37,STAR K2III,1.21,,,,1.33,K
4356,HR4995,55    Vir,198.5454,-19.9308,5.33,STAR G6V,0.87,,,,0.44,G
4357,HR4996,,198.6796,-48.9567,5.89,STAR K1III,1.06,,,,0.93,K
4358,HR4997,,198.4292,40.1528,4.92,STAR G8III,1.06,,0.49,,0.93,G
4359,HR4998,,198.6304,11.3317,5.67,STAR M0III,1.5,,0.9,,1.86,M
4360,HR4999,,198.7904,-36.3711,6.19,STAR K1III,0.97,,,,,K
4361,HR5,,1.5667,58.4367,5.96,STAR G5V,0.67,,,,0.2,G
4362,HR50,35    Psc,3.745,8.8208,5.79,STAR F0IV,0.31,,,,0.04,F
4363,HR500,,25.6812,-3.6903,4.99,STAR K3II,1.38,,,,1.58,K
4364,HR5000,,199.1867,-65.1383,6.07,STAR F5V,0.44,,,,-0.02,F
4365,HR5001,57    Vir,198.995,-19.9431,5.22,STAR K1III,1.03,,,,0.87,K
4366,HR5002,,199.3042,-66.7836,4.87,STAR K2I,1.5,,0.75,,1.58,K
4367,HR5003,,198.3833,72.7989,6.59,STAR A2V,0.08,,,,0.07,A
4368,HR5004,19    CVn,198.8833,40.8553,5.79,STAR A7V,0.19,,,,0.12,A
4369,HR5005,,199.1062,-1.3906,6.68,STAR F1IV,0.31,,,,0.08,F
4370,HR5006,,199.2213,-31.5061,5.1,STAR K1III,0.96,,,,0.61,K
4371,HR5007,,199.0596,19.0517,6.45,STAR G8III,0.98,,,,0.75,K
4372,HR5008,,199.3079,-43.9794,5.84,STAR A0,0.2,,0.09,,0.15,A
4373,HR5009,,198.1058,80.4714,6.25,STAR K0I,0.94,,,,,G
4374,HR501,,25.4212,-50.0389,6.64,STAR A3V,0.12,C,0.07,,0.12,A
4375,HR5010,,199.1346,19.7853,6.45,STAR F0V,0.25,,,,0.08,F
4376,HR5011,59    Vir,199.1938,9.4242,5.22,STAR G0V,0.59,E,0.2,,0.1,G
4377,HR5012,,199.8288,-72.0356,6.04,STAR K3III,1.35,,,,1.46,K
4378,HR5013,,199.315,13.6756,5.33,STAR K3III,1.31,,0.66,,1.51,K
4379,HR5014,,199.3746,-0.6767,6.37,STAR F0V,0.26,,,,0.04,A
4380,HR5015,60Sig Vir,199.4012,5.4697,4.8,STAR M1III,1.67,E,0.84,,1.95,M
4381,HR5016,,199.6442,-51.2861,6.19,STAR A0V,0.01,,,,,A
4382,HR5017,20    CVn,199.3854,40.5725,4.73,STAR F3III,0.3,,0.15,,0.21,A
4383,HR5018,,199.1192,68.4081,6.2,STAR B9V,-0.06,,,,-0.16,B
4384,HR5019,61    Vir,199.6013,-18.3114,4.74,STAR G6V,0.71,,0.36,,0.26,G
4385,HR502,,26.1921,57.0892,6.25,STAR A2V,0.04,,,,0.06,A
4386,HR5020,46Gam Hya,199.7304,-23.1717,3.0,STAR G8III,0.92,,0.47,,0.66,G
4387,HR5021,,199.7129,3.6878,6.62,STAR A1IV,0.06,,,,0.03,A
4388,HR5022,,199.6158,34.0981,5.82,STAR K4III,1.35,,,,,K
4389,HR5023,21    CVn,199.5604,49.6819,5.15,STAR A0V,-0.07,,,,-0.2,B
4390,HR5024,,200.1454,-59.7733,6.18,STAR F3II,0.43,,,,,F
4391,HR5025,,199.7675,35.1281,6.02,STAR F0IV,0.24,,,,,A
4392,HR5026,,200.1575,-52.7481,5.48,STAR B6V,-0.13,,-0.15,,-0.52,B
4393,HR5027,,200.2012,-55.8006,6.02,STAR B0I,0.29,,0.22,e,-0.69,B
4394,HR5029,,200.2404,-46.8806,5.77,STAR K1III,1.12,,,,1.01,K
4395,HR503,,25.9583,32.1917,6.34,STAR G8III,,,,,,G
4396,HR5030,,200.7192,-72.1467,6.05,STAR B6V,0.09,,,,-0.34,B
4397,HR5031,,200.1733,2.9417,6.26,STAR A3V,0.1,,,,0.1,A
4398,HR5032,23    CVn,200.0792,40.1506,5.6,STAR K1III,1.2,,,,,K
4399,HR5033,,200.3746,-19.4889,6.21,STAR A2V,0.09,,,,0.08,A
4400,HR5034,,200.6487,-60.9722,6.18,STAR B2V,0.01,,,,-0.58,B
4401,HR5035,,200.6579,-60.9883,4.53,STAR B3V,-0.13,,-0.15,,-0.6,B
4402,HR5036,,200.5675,-52.1831,5.83,STAR B2I,0.12,,,,-0.72,B
4403,HR5037,,200.4233,2.0872,5.69,STAR A2V,0.06,,,,0.03,A
4404,HR5038,,200.7196,-47.9431,6.16,STAR A4V,0.18,,,,,A
4405,HR5039,,200.7608,-48.5628,6.38,STAR B6IV,-0.07,,,,-0.44,B
4406,HR504,,26.1104,46.1397,6.35,STAR K5III,,,,,,K
4407,HR5041,,201.0021,-64.5358,4.53,STAR G6II,0.85,,0.43,,0.47,G
4408,HR5042,Iot1Mus,201.2796,-74.8878,5.05,STAR K0III,1.11,,0.54,,1.01,K
4409,HR5043,,200.7863,-33.19,6.22,STAR M1III,1.65,E,0.94,,1.96,M
4410,HR5044,63    Vir,200.7546,-17.7353,5.37,STAR K0III,0.99,,0.49,,0.75,K
4411,HR5045,,200.5158,43.9031,6.35,STAR A7,0.24,,0.14,,0.06,A
4412,HR5046,,200.9679,-49.8231,6.48,STAR G8III,0.96,,,,,G
4413,HR5047,65    Vir,200.8288,-4.9244,5.89,STAR K3III,1.43,,,,1.66,K
4414,HR5048,,201.3079,-64.4853,5.31,STAR F2III,0.4,,,,-0.01,F
4415,HR5049,,201.4588,-70.6275,5.67,STAR A0,-0.03,,,,-0.18,A
4416,HR505,,25.45,-60.7894,5.71,STAR K2III,1.27,,,,,K
4417,HR5050,66    Vir,201.1383,-5.1639,5.75,STAR F3V,0.42,,,,-0.04,K
4418,HR5051,Iot2Mus,201.8262,-74.6919,6.63,STAR B9V,-0.06,,,,-0.24,B
4419,HR5052,,200.975,37.0339,6.07,STAR M3III,1.68,,,,,M
4420,HR5053,,201.1271,12.4319,6.44,STAR K0III,1.06,,,,0.91,K
4421,HR5054,79Zet UMa,200.9812,54.9253,2.27,STAR A1V,0.02,,-0.02,,0.03,A
4422,HR5056,67Alp Vir,201.2983,-11.1614,0.98,STAR B1III,-0.23,,-0.24,,-0.93,B
4423,HR5057,,201.2779,23.8544,5.78,STAR A3IV,0.06,,,,0.08,A
4424,HR5058,,201.5325,-39.7553,5.09,STAR K0III,1.2,,,,1.02,K
4425,HR5059,,201.5475,-1.1925,5.97,STAR A7III,0.19,,,,0.13,A
4426,HR506,,25.6221,-53.7406,5.52,STAR F9V,0.53,,,,0.0,F
4427,HR5060,,201.7337,-41.4981,5.69,STAR K3III,1.47,,,,,K
4428,HR5061,,201.7762,-49.1439,6.31,STAR A0III,,,,,,A
4429,HR5062,80    UMa,201.3062,54.9881,4.01,STAR A5V,0.16,,0.07,,0.08,A
4430,HR5063,,201.8367,-49.3808,6.28,STAR B3IV,-0.12,,,,-0.69,B
4431,HR5064,68    Vir,201.68,-12.7078,5.25,STAR M0III,1.52,,0.87,v,1.75,K
4432,HR5065,,201.8112,-40.1631,6.4,STAR G8III,0.98,,,,,G
4433,HR5066,,202.1933,-69.6281,6.2,STAR A0,0.02,,,,-0.42,B
4434,HR5067,,201.5692,46.0281,5.88,STAR,0.97,,,,,K
4435,HR5068,69    Vir,201.8633,-15.9736,4.76,STAR K0III,1.09,,0.53,v,1.06,K
4436,HR5069,,202.2817,-64.6758,6.11,STAR A0,0.11,,0.05,,0.05,A
4437,HR507,,25.9783,-4.7656,6.19,STAR K0,1.54,,,,1.9,K
4438,HR5070,,201.4996,63.2611,6.5,STAR G6V,0.74,,,,0.3,G
4439,HR5071,,202.355,-51.1653,5.06,STAR A1V,0.07,,,,0.07,A
4440,HR5072,70    Vir,202.1075,13.7789,4.98,STAR G4V,0.71,,0.39,,0.26,G
4441,HR5073,,201.5338,72.3914,5.79,STAR M1III,1.63,,,,1.9,M
4442,HR5074,,201.7692,64.7356,6.66,STAR F0,0.37,,,,0.0,F
4443,HR5075,,201.7946,64.7194,7.04,STAR F0,0.39,,,,-0.01,F
4444,HR5076,,201.9979,52.7458,6.34,STAR F0,0.23,,,,0.14,F
4445,HR5077,,202.1092,40.7297,6.47,STAR G8III,0.92,,,,,G
4446,HR5078,,202.3121,-1.3644,6.43,STAR K0III,1.11,E,0.36,,1.11,K
4447,HR5079,,202.0488,50.5872,6.8,STAR F1IV,,,,,,F
4448,HR508,109    Psc,26.2325,20.0831,6.27,STAR G3V,0.75,,,,0.23,G
4449,HR5080,,202.4283,-23.2814,4.97,STAR M7III,1.6,,2.42,v,0.68,M
4450,HR5081,71    Vir,202.3042,10.8183,5.65,STAR K0III,1.05,,,,,K
4451,HR5082,,203.3117,-77.5683,6.48,STAR F6V,0.48,,,,-0.06,F
4452,HR5083,,202.1904,50.7183,6.43,STAR F0IV,0.37,,,,0.05,F
4453,HR5084,Kap Oct,205.2312,-85.7861,5.58,STAR A0,0.18,,,,0.16,A
4454,HR5085,,202.1129,59.9458,5.4,STAR A1V,-0.01,,,,-0.02,A
4455,HR5086,,202.5004,7.1789,6.17,STAR K5,1.47,,,,1.8,K
4456,HR5087,,202.49,6.0133,6.51,STAR K0,0.96,,,,0.59,K
4457,HR5088,72    Vir,202.6071,-6.4703,6.09,STAR F2V,0.33,,,,0.07,F
4458,HR5089,,202.7612,-39.4075,3.88,STAR G9I,1.17,,0.59,,1.03,G
4459,HR509,52Tau Cet,26.0171,-15.9375,3.5,STAR G8V,0.72,,0.47,,0.21,G
4460,HR5090,,202.8887,-28.1128,6.47,STAR A1V,0.1,,,,,A
4461,HR5091,,201.7363,78.6439,5.77,STAR G2III,0.77,,,,0.35,G
4462,HR5092,,203.0221,-38.3992,6.16,STAR K1III,1.04,,,,,K
4463,HR5093,,203.3987,-65.6325,6.37,STAR A0V,-0.02,,,,-0.08,A
4464,HR5094,73    Vir,203.0117,-18.7289,6.01,STAR F0IV,0.18,,0.07,,0.16,A
4465,HR5095,74    Vir,202.9913,-6.2558,4.69,STAR M2III,1.62,,1.16,,1.95,M
4466,HR5096,,202.8158,42.1061,6.08,STAR K2III,1.05,,,,,K
4467,HR5097,,203.1496,-28.6928,5.69,STAR A1V,0.04,,,,,A
4468,HR5098,,203.1438,-29.5653,6.45,STAR F3IV,0.44,,,,0.0,F
4469,HR5099,75    Vir,203.2154,-15.3631,5.55,STAR K1III,1.23,,,,1.22,K
4470,HR51,,3.7271,-9.5697,5.75,STAR B9V,-0.08,,,,,B
4471,HR510,110Omi Psc,26.3483,9.1578,4.26,STAR G8III,0.96,,0.48,,0.71,G
4472,HR5100,76    Vir,203.2421,-10.165,5.21,STAR K0III,0.96,,0.5,,0.6,G
4473,HR5101,,203.2529,-7.195,6.68,STAR M7III,1.28,,1.86,,0.91,M
4474,HR5102,,203.2004,24.3464,6.11,STAR G8III,0.96,,0.53,,0.7,G
4475,HR5103,,203.6204,-48.2722,6.33,STAR B8III,-0.05,,,,,B
4476,HR5104,,203.6817,-33.3108,6.44,STAR K2III,1.26,,,,,K
4477,HR5105,78    Vir,203.5329,3.6589,4.94,STAR A1,0.03,,-0.03,,0.0,A
4478,HR5106,,203.6687,-13.2144,5.91,STAR A2,0.02,,,,-0.09,A
4479,HR5107,79Zet Vir,203.6733,-0.5958,3.37,STAR A3V,0.11,,0.06,,0.1,A
4480,HR5108,,203.5908,38.7892,6.37,STAR F0IV,0.21,,,,0.11,A
4481,HR5109,81    UMa,203.5304,55.3486,5.6,STAR A0V,-0.03,,,,-0.09,A
4482,HR511,,26.9367,63.8522,5.63,STAR K0V,0.81,,0.39,,0.4,K
4483,HR5110,,203.6992,37.1825,4.98,STAR F2IV,0.4,,0.3,,0.06,A
4484,HR5111,80    Vir,203.8804,-5.3961,5.73,STAR G6III,0.95,,,,0.66,K
4485,HR5112,24    CVn,203.6138,49.0161,4.7,STAR A5V,0.12,,0.02,,0.11,A
4486,HR5113,,204.3008,-61.6919,5.63,STAR F6V,0.5,,,,,F
4487,HR5114,,203.8887,10.2047,6.49,STAR K1III,1.03,,0.52,,0.9,K
4488,HR5115,,204.7996,-75.6839,6.34,STAR B8IV,0.01,,,,-0.26,B
4489,HR5116,,203.8087,44.1969,6.84,STAR A7III,0.2,,,,0.25,A
4490,HR5117,,204.2104,-34.4678,6.5,STAR K0III,1.03,,,,0.85,K
4491,HR5118,,204.275,-44.1433,5.98,STAR G8III,0.94,,,,,G
4492,HR5119,,204.6904,-70.445,6.1,STAR K3III,1.42,,,,1.73,K
4493,HR512,,24.4817,-82.975,5.87,STAR G2V,0.61,,,,0.1,G
4494,HR5120,,204.2017,-26.495,5.78,STAR A7III,0.22,,,,0.19,A
4495,HR5121,,204.3488,-46.4283,5.9,STAR B8V,-0.12,,,,,B
4496,HR5122,,204.5317,-58.415,6.42,STAR K1III,1.12,,,,0.93,K
4497,HR5123,,204.2462,24.6133,5.74,STAR M2III,1.55,,,,1.85,M
4498,HR5124,,204.7046,-57.6231,6.01,STAR G5I,1.14,,,,,G
4499,HR5125,,205.0025,-70.7883,6.59,STAR K0III,1.3,,,,1.09,K
4500,HR5126,,204.1658,49.4867,6.49,STAR K1III,,,,,,K
4501,HR5127,25    CVn,204.365,36.295,4.82,STAR A7III,0.23,,0.13,,0.09,A
4502,HR5128,,204.675,-29.5608,5.83,STAR F5V,0.4,,,,,F
4503,HR5129,,204.5329,14.3017,6.52,STAR A9V,0.25,,,,0.11,A
4504,HR513,,26.4971,-5.7333,5.34,STAR K4III,1.52,,,,1.88,K
4505,HR5130,,205.0454,-64.5769,5.79,STAR F3III,0.39,,,,0.02,F
4506,HR5131,,203.6783,76.5467,6.57,STAR K5III,,,,,,K
4507,HR5132,Eps Cen,204.9717,-53.4664,2.3,STAR B1III,-0.22,,-0.24,,-0.92,B
4508,HR5133,,204.4292,50.7147,6.48,STAR M2II,1.55,,1.05,,1.66,M
4509,HR5134,,204.9987,-49.9503,6.0,STAR M5III,1.5,E,1.75,,1.15,M
4510,HR5135,,204.92,-39.7481,6.27,STAR M4III,1.66,,,,1.78,M
4511,HR5136,,204.9525,-40.0519,5.6,STAR K2III,1.3,,,,,K
4512,HR5137,,204.7596,18.2653,6.48,STAR K3III,1.2,,,,1.27,K
4513,HR5138,,204.8942,10.7461,5.57,STAR F0V,0.33,,,,0.05,F
4514,HR5139,,204.2958,71.2422,5.5,STAR,1.2,,,,,K
4515,HR514,Eps Scl,26.4117,-25.0525,5.31,STAR F1V,0.39,,,,0.02,F
4516,HR5140,,205.5046,-58.7872,5.38,STAR B9III,-0.03,,,,-0.23,B
4517,HR5141,,205.4362,-54.56,5.01,STAR B8V,-0.05,,,,-0.23,B
4518,HR5142,82    UMa,204.8767,52.9214,5.46,STAR A3V,0.1,,,,0.04,A
4519,HR5143,,205.065,31.0119,6.21,STAR G5II,0.96,,,,,G
4520,HR5144,1    Boo,205.1687,19.9556,5.75,STAR A1V,0.01,,,,0.0,A
4521,HR5145,,205.1629,28.0653,6.23,STAR K3III,1.28,,,,1.5,K
4522,HR5146,,205.3788,-23.4497,6.59,STAR A0,0.06,,,,0.05,A
4523,HR5147,,205.4404,-33.5969,6.05,STAR K0II,1.44,,1.09,v,1.1,K
4524,HR5148,,205.0967,50.5194,6.32,STAR F7V,0.54,,,,-0.03,F
4525,HR5149,2    Boo,205.2596,22.4958,5.62,STAR G9III,1.01,,,,,K
4526,HR515,,26.6471,17.4131,6.55,STAR A9III,0.25,,,,0.17,A
4527,HR5150,82    Vir,205.4033,-8.7031,5.01,STAR M1III,1.63,,1.16,,1.95,M
4528,HR5151,,205.7337,-56.7681,6.0,STAR B0III,-0.08,,,,,B
4529,HR5152,,205.7275,-50.7906,6.41,STAR M0III,1.67,,,,,M
4530,HR5153,,205.0887,57.2075,6.29,STAR A2V,0.1,,,v,0.02,A
4531,HR5154,83    UMa,205.1846,54.6817,4.66,STAR M2III,1.64,,1.12,,1.96,M
4532,HR5155,,205.7292,-41.4011,5.98,STAR K0III,1.02,,,,,K
4533,HR5156,,205.5529,8.3883,6.16,STAR F3V,0.42,,,,-0.04,F
4534,HR5157,,205.9167,-42.0675,5.98,STAR B8III,-0.08,,,,,B
4535,HR5158,,206.0663,-51.0131,6.47,STAR A0,-0.13,,,,,A
4536,HR5159,84    Vir,205.7654,3.5381,5.36,STAR K2III,1.11,,0.54,,1.04,K
4537,HR516,Tau1Hyi,25.3388,-79.1483,6.33,STAR G6III,0.94,,,,0.69,G
4538,HR5160,,205.62,41.6742,6.3,STAR G6III,0.86,,,,,G
4539,HR5161,,205.6808,34.9889,5.98,STAR G5III,0.85,,,,,G
4540,HR5162,,205.3746,64.8225,5.85,STAR A2V,0.07,,,,0.08,A
4541,HR5163,,205.9763,-5.4989,6.51,STAR A1V,0.05,,,,0.01,A
4542,HR5164,,205.9383,22.7003,6.13,STAR K4III,1.42,,0.75,,1.7,K
4543,HR5165,83    Vir,206.1242,-16.1792,5.6,STAR G0I,0.81,,0.4,,0.41,G
4544,HR5166,,206.1904,-25.5008,6.21,STAR K0,1.38,,,,,K
4545,HR5167,,206.4037,-26.1161,5.81,STAR A1V,0.02,,,,,A
4546,HR5168,1    Cen,206.4217,-33.0439,4.23,STAR F3IV,0.38,,0.21,,0.0,F
4547,HR5169,,205.9779,52.0644,6.02,STAR A1V,0.0,,,,-0.01,A
4548,HR517,,26.5042,-27.3492,6.39,STAR F2V,0.36,,,,,F
4549,HR5170,85    Vir,206.3963,-15.7675,6.19,STAR A2V,0.05,,,,,A
4550,HR5171,,206.7946,-62.59,6.51,STAR K0I,1.98,,1.2,,1.19,G
4551,HR5172,,206.6638,-51.4328,4.65,STAR G8III,0.96,,,,0.72,G
4552,HR5173,86    Vir,206.4846,-12.4267,5.51,STAR G8III,0.9,,,,,G
4553,HR5174,,206.735,-36.2519,5.15,STAR A0V,-0.02,,,,,A
4554,HR5175,,206.865,-50.2494,5.91,STAR A3,0.29,,,,,A
4555,HR5176,,206.91,-50.3211,5.45,STAR K2III,1.36,,,,1.36,K
4556,HR5177,,206.305,55.8794,6.5,STAR F7IV,0.47,,,,-0.06,F
4557,HR5178,,206.8062,-9.7092,6.05,STAR K5III,1.42,,,,1.66,K
4558,HR5179,,206.5562,41.0886,5.87,STAR A5V,0.21,,,,0.06,A
4559,HR518,,26.95,46.2297,6.32,STAR F6V,0.43,,,,0.0,F
4560,HR5180,,206.5792,38.5039,5.94,STAR G9III,0.94,,,,,G
4561,HR5181,87    Vir,206.8558,-17.86,5.43,STAR M2III,1.62,E,0.89,,1.94,M
4562,HR5182,3    Boo,206.6804,25.7022,5.95,STAR G5III,0.49,,,,0.1,A
4563,HR5183,,206.7379,6.3506,6.33,STAR G0IV,0.63,,,,0.16,G
4564,HR5184,,205.6638,78.0644,5.91,STAR,1.01,,,,,G
4565,HR5185,4Tau Boo,206.8154,17.4567,4.5,STAR F6IV,0.48,,0.24,,0.04,F
4566,HR5186,,206.7492,38.5428,5.5,STAR K0III,1.03,,0.52,,0.84,K
4567,HR5187,84    UMa,206.6487,54.4328,5.7,STAR B9,-0.08,,,v,-0.08,A
4568,HR5188,,208.9113,-82.6661,5.95,STAR K2III,1.46,,0.0,,1.57,K
4569,HR5189,,207.2296,-35.7039,6.53,STAR G3IV,0.57,,,,0.05,F
4570,HR519,,26.5242,-50.8164,5.49,STAR M3III,1.6,,1.27,,1.95,M
4571,HR5190,Nu  Cen,207.3763,-41.6878,3.41,STAR B2IV,-0.22,,-0.23,,-0.84,B
4572,HR5191,85Eta UMa,206.885,49.3133,1.86,STAR B3V,-0.19,,-0.18,,-0.67,B
4573,HR5192,2    Cen,207.3613,-34.4508,4.19,STAR M4III,1.5,,1.81,,1.45,M
4574,HR5193,Mu  Cen,207.4042,-42.4739,3.04,STAR B2IV,-0.17,,-0.11,v,-0.72,B
4575,HR5194,,207.9475,-69.4014,5.75,STAR K5III,1.73,,,,2.02,K
4576,HR5195,,207.1613,31.1903,5.62,STAR K0III,1.01,,,,,K
4577,HR5196,89    Vir,207.4679,-18.1342,4.97,STAR K0III,1.06,,0.5,,0.92,K
4578,HR5197,,207.5271,-29.0814,6.18,STAR A0V,-0.03,,,,-0.12,A
4579,HR5198,,207.5808,-39.9011,6.44,STAR K1III,0.99,,,,,K
4580,HR5199,,207.2383,39.5428,7.4,STAR M6III,,,,v,,M
4581,HR52,,3.7792,31.5358,6.45,STAR K5,,,,,,K
4582,HR520,,26.5263,-53.5219,5.04,STAR A1V,0.04,,,,0.05,A
4583,HR5200,5Ups Boo,207.3692,15.7978,4.07,STAR K5III,1.52,,0.87,e,1.87,K
4584,HR5201,6    Boo,207.4283,21.2642,4.91,STAR K4III,1.43,,0.74,,1.65,K
4585,HR5202,,207.6438,-19.8972,6.53,STAR G5III,0.51,,,,,F
4586,HR5203,,205.5963,82.7525,5.98,STAR G9III,1.01,,,,,G
4587,HR5204,,207.4375,36.6328,6.38,STAR A7IV,,,,,,A
4588,HR5205,,207.6029,5.4972,6.01,STAR K0,0.9,,,,0.59,K
4589,HR5206,,207.9467,-46.8992,5.77,STAR B2V,-0.16,,,,-0.75,B
4590,HR5207,,208.02,-52.8117,5.25,STAR B9V,-0.09,,,,-0.32,B
4591,HR5208,,207.9025,-36.4333,6.35,STAR F6IV,0.48,,,,0.01,F
