,name,alt_name,ra,dec,vmag,class,bv_color,ri_code,ri_color,spect_code,ub_color,spectral_type
677,HR1620,102Iot Tau,75.7738,21.59,4.64,STAR A7V,0.16,,0.09,,0.15,A
678,HR1621,,75.3567,-20.0519,4.91,STAR B9V,-0.05,,-0.05,,-0.14,B
679,HR1622,11    Cam,76.5354,58.9725,5.08,STAR B2V,-0.08,,,,-0.69,B
680,HR1623,12    Cam,76.5508,59.0211,6.08,STAR K0III,1.12,,,,0.85,K
681,HR1624,,76.6237,61.17,6.04,STAR K5II,1.37,,,,,K
682,HR1625,,75.6896,-4.2097,5.85,STAR K3,1.21,,,,1.36,K
683,HR1626,,76.0604,30.4947,6.14,STAR K0II,1.21,,,,,K
684,HR1627,,76.1537,32.3203,6.62,STAR A4,0.27,,0.13,,0.13,A
685,HR1628,,75.5408,-26.275,5.02,STAR K1III,1.07,,,,0.97,K
686,HR1629,Eta Men,73.7967,-74.9369,5.47,STAR K4III,1.52,,,,1.83,K
687,HR163,30Eps And,9.6388,29.3117,4.37,STAR G6III,0.87,,0.51,,0.47,G
688,HR1630,,76.5917,54.4058,7.24,STAR G5,,,,,,G
689,HR1631,,75.3938,-39.7181,6.03,STAR G5III,0.88,,,,,G
690,HR1632,,76.1579,27.6961,6.6,STAR F0III,0.24,,,,0.12,F
691,HR1633,,76.09,21.2781,6.19,STAR K0,1.32,E,0.48,,1.47,K
692,HR1634,1    Lep,75.6871,-22.795,5.75,STAR K1IV,1.2,,,,1.14,K
693,HR1635,,75.595,-31.7714,5.94,STAR G8III,1.17,,,,,K
694,HR1636,,77.4029,69.6394,6.41,STAR K1III,1.11,,,,1.03,K
695,HR1637,9    Aur,76.6692,51.5978,5.0,STAR F0V,0.33,,0.2,,-0.01,F
696,HR1638,11    Ori,76.1421,15.4042,4.68,STAR A0,-0.06,,-0.02,,-0.09,A
697,HR1639,,76.5038,35.9364,6.52,STAR A5V,0.16,,,,0.09,A
698,HR164,,9.7913,49.3544,5.43,STAR K7III,1.64,,,,,K
699,HR1640,,75.9667,-14.3694,6.41,STAR B2IV,-0.18,,,,-0.77,B
700,HR1641,10Eta Aur,76.6288,41.2344,3.17,STAR B3V,-0.18,,-0.17,,-0.67,B
701,HR1643,,78.0933,73.9467,5.43,STAR B9,-0.12,,,,-0.36,B
702,HR1644,,76.7067,43.1747,6.2,STAR F2II,0.43,,,,0.3,F
703,HR1645,,75.9721,-24.3878,5.61,STAR A3,0.1,,0.0,,0.07,A
