name,spectral_type
HR  3019, B9III"
HR   302, B3V"
HR  3020, B5V"
HR  3021, K0III+A0IV:"
HR  3022, B5V"
HR  3023, B1/2V"
HR  3024, G9IIIb"
HR  3025, B2III"
HR  3026, K1Ia-Iab"
HR  3027, K5II/III"
HR  3028, F6V"
HR  3029, F5.5V"
HR   303, F7IV-V"
HR  3030, K0III"
HR  3031, F0II"
HR  3032, ApSi"
HR  3033, G6IV"
HR  3034, B1IVe"
HR  3035, B2IV/V"
HR  3036, G6/8III"
HR  3037, B2III"
HR  3038, A0IV/V"
HR  3039, A0Vn"
HR   304, M2III"
HR  3040, A2m"
HR  3041, M2III"
HR  3042, B8/9II"
HR  3043, G1.5IIIFe-0.5"
HR  3044, K3III"
HR  3045, G6Ib"
HR  3046, K0IIIb"
HR  3047, K2III"
HR  3048, G0V"
HR  3049, B9V"
HR   305, F0Vn"
HR  3050, K0/1III"
HR  3051, K1III"
HR  3052, M0III"
HR  3053, K1III:"
HR  3054, K0/1III"
HR  3055, B0III"
HR  3056, K0III+A1V"
HR  3057, K0III"
HR  3058, B2III"
HR  3059, B8II"
HR   306, K2III:"
HR  3060, B9.5V"
HR  3061, M4/5III"
HR  3062, G5II"
HR  3063, F3IV"
HR  3064, G0V"
HR  3065, K2III:"
HR  3066, K4III"
HR  3067, A5IV"
HR  3068, G9III"
HR  3069, G6III"
HR   307, K5III"
HR  3070, F4V"
HR  3071, K2III"
HR  3072, F5IV"
HR  3073, F1Ia"
HR  3074, B2/3V"
HR  3075, K3III"
HR  3076, K0II"
HR  3077, A2IV"
HR  3078, B2III"
HR  3079, F5VFe-0.5"
HR   308, F4V((Sr))"
HR  3080, K1/2II+A"
HR  3081, B9V"
HR  3082, B9.5IVs"
HR  3083, A3p"
HR  3084, B2V"
HR  3085, K1IIICNII"
HR  3086, A0Vs"
HR  3087, F3V"
HR  3088, B2IV"
HR  3089, B2V"
HR   309, A5Vn"
HR  3090, B0.5Ib"
HR  3091, B2V"
HR  3092, K4III"
HR  3093, G8/K0III"
HR  3094, K0"
HR  3095, K3-III"
HR  3096, K4III"
HR  3097, K0III"
HR  3098, F7V"
HR  3099, M5/6III"
HR    31, K0III"
HR   310, A0IV-Vnn"
HR  3100, B8III"
HR  3101, B5IV/V"
HR  3102, F7II"
HR  3103, A0V"
HR  3104, K0"
HR  3105, K3/4III"
HR  3106, F2:V:"
HR  3107, B2V"
HR  3108, A3IV"
HR  3109, A3VpSrSiCrEu"
HR   311, B9IVn"
HR  3110, G8IIIb"
HR  3111, K3III"
HR  3112, G1III"
HR  3113, A7III"
HR  3114, B3IV/V"
HR  3115, K2"
HR  3116, B2III/IV"
HR  3117, B3IV"
HR  3118, B5V"
HR  3119, F9IV+G5IV"
HR   312, ~"
HR  3120, K3+IIIa"
HR  3121, K2III"
HR  3122, K1III"
HR  3123, G9IIa"
HR  3124, G8III"
HR  3125, K1III"
HR  3126, M1II"
HR  3127, K1III-IV"
HR  3128, K3III"
HR  3129, B1Vp+B2:"
HR   313, F5V"
HR  3130, K0"
HR  3131, A1V"
HR  3132, A1V"
HR  3133, A8/9IV"
HR  3134, B9.5Vn"
HR  3135, B2.5Ve"
HR  3136, A1V"
HR  3137, B3V"
HR  3138, F9.5V"
HR  3139, B8V"
HR   314, F5/7(V)"
HR  3140, F3V"
HR  3141, K4III"
HR  3142, B2/3"
HR  3143, B2/3"
HR  3144, G0IV"
HR  3145, K2IIIbFe-0.5:"
HR  3146, K1Ib/II"
HR  3147, B3Vn"
HR  3148, A2III/IV"
HR  3149, K1-IIIb"
HR   315, K0III"
HR  3150, F8/G0IV"
HR  3151, B9Ib"
HR  3152, B5III"
HR  3153, M1.5IIb"
HR  3154, A3IV"
HR  3155, M3III"
HR  3156, B5Vn"
HR  3157, B2IV"
HR  3158, B9V"
HR  3159, B4V"
HR   316, K2III-IV"
HR  3160, K2/3III"
HR  3161, B4V"
HR  3162, B9pSi"
HR  3163, A1V"
HR  3164, B9.5Vp_lB+A0Vnp"
HR  3165, O4I(n)fp"
HR  3166, G8II"
HR  3167, A1V"
HR  3168, B3III"
HR  3169, M3III"
HR   317, A0V"
HR  3170, M1Iab-Ib"
HR  3171, A3III"
HR  3172, K0III"
HR  3173, A2V"
HR  3174, B9III"
HR  3175, K4III:"
HR  3176, G1IVb"
HR  3177, G1Ib"
HR  3178, G5II"
HR  3179, B3III"
HR   318, K2III"
HR  3180, K3/4III"
HR  3181, K3III:"
HR  3182, G7IIb"
HR  3183, A3Ib/II"
HR  3184, F3V"
HR  3185, F5IIkF2IImF5II"
HR  3186, B2Vn"
HR  3187, K3III"
HR  3188, G2Ib"
HR  3189, B8V"
HR   319, G8III"
HR  3190, A3III"
HR  3191, G7V"
HR  3192, B5V"
HR  3193, G0"
HR  3194, B3/5V"
HR  3195, B3V"
HR  3196, K3III"
HR  3197, A2Vn"
HR  3198, A1V"
HR  3199, G8III"
HR    32, A/F"
HR   320, K1III"
HR  3200, G9III"
HR  3201, B6III"
HR  3202, F6.5V"
HR  3203, B8III"
HR  3204, B2IV"
HR  3205, B7V"
HR  3206, B2III"
HR  3207, WC8+O7.5III-V"
HR  3208, ~"
HR  3209, ~"
HR   321, G5Vb"
HR  3210, G0IV-V"
HR  3211, G8.5IIIb"
HR  3212, G7III-IIIb"
HR  3213, B2V"
HR  3214, A7III"
HR  3215, B8VpSi"
HR  3216, G8III"
HR  3217, B6V"
HR  3218, A3mA5-A9"
HR  3219, O9.7II"
HR   322, G8III"
HR  3220, F6VFe-0.8CH-0.4"
HR  3221, A7Vm"
HR  3222, G8III"
HR  3223, B5III"
HR  3224, A4IVn"
HR  3225, K4.5Ib"
HR  3226, A5Ib"
HR  3227, B3/4V"
HR  3228, F1IV"
HR  3229, G4Ib-II"
HR   323, A1V"
HR  3230, A1V"
HR  3231, G8III"
HR  3232, F7Ib/II"
HR  3233, A3V"
HR  3234, B5V"
HR  3235, A7IV"
HR  3236, M0III"
HR  3237, B1V"
HR  3238, K2III"
HR  3239, B2V"
HR   324, A3m"
HR  3240, B2(V)"
HR  3241, B2IV-V"
HR  3242, K1III"
HR  3243, K1II/III"
HR  3244, B3III"
HR  3245, G8III"
HR  3246, K5"
HR  3247, M1III"
HR  3248, M6.5-9e"
HR  3249, K4IIIBa0.5:"
HR   325, A3III"
HR  3250, B2IV"
HR  3251, G5/8III+(G)"
HR  3252, G8III"
HR  3253, K2III"
HR  3254, F4V"
HR  3255, A0V"
HR  3256, K3/4III"
HR  3257, A1V"
HR  3258, kA8hF0mF3IIIBa"
HR  3259, G8:V"
HR   326, B8V"
HR  3260, A2V"
HR  3261, K0III"
HR  3262, F6V"
HR  3263, K0III"
HR  3264, K1III"
HR  3265, F2IV"
HR  3266, K2III"
HR  3267, A0IV"
HR  3268, B9.5V"
HR  3269, G8IV"
HR   327, F5IV"
HR  3270, A8V"
HR  3271, G0V"
HR  3272, K4III"
HR  3273, B8Ib/II"
HR  3274, F5V"
HR  3275, K4+III"
HR  3276, G8/K0III"
HR  3277, A3Va"
HR  3278, A0V"
HR  3279, G8III"
HR   328, A3V"
HR  3280, K1III"
HR  3281, K0III"
HR  3282, K2+IIIa"
HR  3283, B2IV/V"
HR  3284, A9V"
HR  3285, A8III"
HR  3286, A4V"
HR  3287, K5III"
HR  3288, M2III"
HR  3289, K0III"
HR   329, F5V"
HR  3290, M2III"
HR  3291, F2Iab"
HR  3292, K0"
HR  3293, B2III"
HR  3294, B2III"
HR  3295, F5V"
HR  3296, M3+III"
HR  3297, F6V"
HR  3298, G6/8III"
HR  3299, F5IIIm?"
HR    33, F8VFe-0.8CH-0.5"
HR   330, F2V"
HR  3300, A0V"
HR  3301, B9III/IV"
HR  3302, B9/A0IV"
HR  3303, G8III"
HR  3304, K5III"
HR  3305, K4III"
HR  3306, G6III-IIIaFe-1.5"
HR  3307, K3:III+B2:V"
HR  3308, A1III/IV"
HR  3309, G1V"
HR   331, A1(V)+F1(V)"
HR  3310, A2Vp"
HR  3311, A5IV"
HR  3312, F0V"
HR  3313, F7V"
HR  3314, A0Va"
HR  3315, K4.5IIICN0.5"
HR  3316, F2V"
HR  3317, K1III"
HR  3318, F5VFe-0.8"
HR  3319, M3IIIa"
HR   332, G5III"
HR  3320, A3(m)A3-A7"
HR  3321, F0VmA6"
HR  3322, B3V"
HR  3323, G5III:"
HR  3324, K1/2III"
HR  3325, F5III/IV"
HR  3326, B3/5IV"
HR  3327, B9IV/V"
HR  3328, A2V:"
HR  3329, F0Vn"
HR   333, A3V"
HR  3330, B3IV"
HR  3331, B9.5V"
HR  3332, K0"
HR  3333, A5V"
HR  3334, A0/1IV/V"
HR  3335, A1V"
HR  3336, G8III"
HR  3337, A3mA5/7-A9"
HR  3338, K1III"
HR  3339, A1/2V"
HR   334, K2-IIIb"
HR  3340, K2IIIbCN0.5"
HR  3341, A0V"
HR  3342, F3/5III"
HR  3343, B2V"
HR  3344, A1/2V"
HR  3345, B8II"
HR  3346, G8/K0III"
HR  3347, K2III"
HR  3348, A0V"
HR  3349, A0V"
HR   335, B5IIIe"
HR  3350, A9/F0III/IV"
HR  3351, K0IV"
HR  3352, A2m"
HR  3353, B4V"
HR  3354, A2m"
HR  3355, F0IIIn"
HR  3356, B2/3V"
HR  3357, K5III"
HR  3358, B1.5V+B4V"
HR  3359, B3III/IV"
HR   336, A0Vnn"
HR  3360, K1.5III-IIIb"
HR  3361, B9.5VpHgMnEu"
HR  3362, K3III"
HR  3363, B5III"
HR  3364, M3-Iab-Ib"
HR  3365, F5Vbwv"
HR  3366, K3III"
HR  3367, B9.5IV/V"
HR  3368, G3III"
HR  3369, G9III"
HR   337, M0+IIIa"
HR  3370, A0V"
HR  3371, B3IV"
HR  3372, A1V"
HR  3373, B5V"
HR  3374, A7IV/V"
HR  3375, B2/3V"
HR  3376, K0III"
HR  3377, A2Vnn"
HR  3378, G5III"
HR  3379, G7III"
HR   338, B6V+B9V"
HR  3380, F3IV"
HR  3381, F2IV/V"
HR  3382, K3III"
HR  3383, A0V"
HR  3384, K1V"
HR  3385, G8III"
HR  3386, A0/1V"
HR  3387, G0III"
HR  3388, B2/3V"
HR  3389, B5III"
HR   339, F9IIIa"
HR  3390, K3III"
HR  3391, G0.5V"
HR  3392, G8III"
HR  3393, G8III"
HR  3394, F0IV"
HR  3395, F8V"
HR  3396, G8-V"
HR  3397, G5V"
HR  3398, A1VpSrCr"
HR  3399, M0III"
HR    34, K2III"
HR   340, F8V"
HR  3400, G9III"
HR  3401, A2Vn"
HR  3402, A1V+G/KIII"
HR  3403, K1+III"
HR  3404, F9.5V"
HR  3405, K0"
HR  3406, A3V"
HR  3407, K1.5Ib"
HR  3408, K1III"
HR  3409, K2III:"
HR   341, K5III-IIIb"
HR  3410, A0Vnn"
HR  3411, K0III"
HR  3412, A1V"
HR  3413, ApSi"
HR  3414, K0III"
HR  3415, B4V"
HR  3416, A0V+K0III"
HR  3417, G8III"
HR  3418, K1III"
HR  3419, F0IV/V"
HR   342, B9.5V"
HR  3420, A0V"
HR  3421, G0Vp"
HR  3422, G8IV"
HR  3423, F5III"
HR  3424, K1III"
HR  3425, M1III"
HR  3426, A7Ia"
HR  3427, G8+III-IIIb"
HR  3428, G9III-IIIb"
HR  3429, A5m"
HR   343, A7V"
HR  3430, G3V+K0V"
HR  3431, K3III"
HR  3432, K0III"
HR  3433, G6IIIbCN-0.5"
HR  3434, F3/5V"
HR  3435, B8V"
HR  3436, G8III"
HR  3437, A0V"
HR  3438, G5II/III"
HR  3439, kB8hA0III(CrEu)"
HR   344, M0III"
HR  3440, B5V"
HR  3441, K0IIIb"
HR  3442, B5IV"
HR  3443, A0V"
HR  3444, M0III"
HR  3445, F0Ia"
HR  3446, A3III/IV"
HR  3447, B3/5(V)"
HR  3448, B9/A0"
HR  3449, A1IV"
HR   345, B9IV"
HR  3450, A3III:+G7III"
HR  3451, F7V"
HR  3452, A5II"
HR  3453, B2III"
HR  3454, B3V"
HR  3455, A4V+F7V"
HR  3456, B6Iab/b"
HR  3457, B2III"
HR  3458, A0III"
HR  3459, G1Ib"
HR   346, K0III"
HR  3460, A0V"
HR  3461, K0+IIIb"
HR  3462, B2/3IV/V"
HR  3463, A0V"
HR  3464, G5III"
HR  3465, A1VpHgMnSiEu"
HR  3466, B9III(pSi)"
HR  3467, B3IV"
HR  3468, B1.5III"
HR  3469, A6V"
HR   347, K4/5III"
HR  3470, B7III"
HR  3471, K2III"
HR  3472, F2IV"
HR  3473, A5V"
HR  3474, A2V"
HR  3475, G8IIIaBa0.2"
HR  3476, B1/2II/III(n)"
HR  3477, G6III"
HR  3478, K1III"
HR  3479, B3III"
HR   348, B7III-IV"
HR  3480, K5III"
HR  3481, A1Vp"
HR  3482, G1III+A8V"
HR  3483, A3IV/V"
HR  3484, G8IIIbCN-1"
HR  3485, A2IV+A4V"
HR  3486, A0V"
HR  3487, A0II"
HR  3488, B9IVe"
HR  3489, B7III"
HR   349, F0V"
HR  3490, B3V"
HR  3491, K3(III)"
HR  3492, A0Vn"
HR  3493, K2III"
HR  3494, B5Iab"
HR  3495, A4V"
HR  3496, F0III"
HR  3497, F9VFe+0.3"
HR  3498, B3V(n)"
HR  3499, F7Vs"
HR    35, F5V"
HR   350, G6II/III"
HR  3500, B8IIIpHgMn"
HR  3501, B2V"
HR  3502, B8V"
HR  3503, B8V"
HR  3504, A2Vs"
HR  3505, F2III"
HR  3506, F5IV-V"
HR  3507, A6IV"
HR  3508, K0III"
HR  3509, K0III"
HR   351, G8.5III"
HR  3510, G1V"
HR  3511, K0III"
HR  3512, G8III"
HR  3513, G8III"
HR  3514, A2/3IV"
HR  3515, ~"
HR  3516, B9V"
HR  3517, A2/3II/III"
HR  3518, K2.5III"
HR  3519, A8Vam"
HR   352, K0.5IIIb"
HR  3520, A2III"
HR  3521, M3III"
HR  3522, K0IV-V"
HR  3523, A2/3V"
HR  3524, A7V"
HR  3525, O9V+B0V"
HR  3526, A5V"
HR  3527, B1Ib"
HR  3528, A4III"
HR  3529, K1III"
HR   353, K3III"
HR  3530, A1V"
HR  3531, G7IIIb"
HR  3532, G7III"
HR  3533, K2/3III"
HR  3534, G6/K0III"
HR  3535, K5/M0III"
HR  3536, B8III"
HR  3537, F5IV"
HR  3538, G2V"
HR  3539, B5V"
HR   354, B9V"
HR  3540, G8III"
HR  3541, C-N4.5"
HR  3542, A0V"
HR  3543, K5III"
HR  3544, A3mA6-A7"
HR  3545, K1IV"
HR  3546, F3III"
HR  3547, G8.5III"
HR  3548, K0II/III"
HR  3549, A0V"
HR   355, M1III"
HR  3550, K5III"
HR  3551, A9IV/V"
HR  3552, kA1hF2mF3"
HR  3553, kA4hF1mF2"
HR  3554, K2/3III"
HR  3555, A7IV"
HR  3556, A3IV"
HR  3557, G8III"
HR  3558, K1III"
HR  3559, A4V"
HR   356, G9III"
HR  3560, B4V"
HR  3561, A5III"
HR  3562, B3IV"
HR  3563, F4V"
HR  3564, K3III"
HR  3565, F0IV"
HR  3566, A2V"
HR  3567, G8III"
HR  3568, B5V"
HR  3569, A6"
HR   357, F5Vs"
HR  3570, F6V"
HR  3571, B8/9II"
HR  3572, kA7VmF0/2III/IVSr"
HR  3573, A1V"
HR  3574, B5/6IV"
HR  3575, G9III"
HR  3576, M3IIICa1"
HR  3577, M4.5III"
HR  3578, G2VFe-1.8CH-1"
HR  3579, F3V+G5V"
HR   358, F5IV"
HR  3580, K5"
HR  3581, F2III"
HR  3582, B2V"
HR  3583, G8/K0II"
HR  3584, F5V"
HR  3585, G8.5IIICN0.5"
HR  3586, A9Vn"
HR  3587, A2V"
HR  3588, A6/7(m)A7-F0"
HR  3589, A8Vn"
HR   359, A9(IV)(+F/G)"
HR  3590, K1II-III"
HR  3591, G8/K1III+A"
HR  3592, A2V"
HR  3593, B2Vnn(e)"
HR  3594, A1Vn"
HR  3595, A0III"
HR  3596, K0III"
HR  3597, K1IIICNII"
HR  3598, F4V"
HR  3599, K3III:"
HR    36, K4III"
HR   360, K0III"
HR  3600, B5III"
HR  3601, A1V"
HR  3602, K1IIICNII"
HR  3603, F6IIIn"
HR  3604, G8II"
HR  3605, ApSi"
HR  3606, A8V"
HR  3607, B8V"
HR  3608, A2V"
HR  3609, K5III"
HR   361, A7IV"
HR  3610, M1III"
HR  3611, B7IVe"
HR  3612, G7IIa"
HR  3613, K2II-III"
HR  3614, K2III"
HR  3615, kA3hA5mA5V"
HR  3616, F7V"
HR  3617, F4V"
HR  3618, M3III"
HR  3619, kA3VmF5IIISr"
HR   362, F7V"
HR  3620, F2V"
HR  3621, G8III"
HR  3622, A8III"
HR  3623, B8IIImnp"
HR  3624, F6IIIn"
HR  3625, G0IV-V"
HR  3626, G5IV-V"
HR  3627, G8.5IIIFe-0.5CH-1"
HR  3628, K4III"
HR  3629, B2/3V"
HR   363, S3+/2-"
HR  3630, B9V"
HR  3631, K3/5III"
HR  3632, K3III"
HR  3633, G8III-IV"
HR  3634, K4Ib"
HR  3635, F2VkA7mA7"
HR  3636, G8III"
HR  3637, A4IV"
HR  3638, A0/1V"
HR  3639, M6S"
HR   364, B8III"
HR  3640, G5III"
HR  3641, K0II/III"
HR  3642, B3III"
HR  3643, F8II+DA"
HR  3644, A4IV"
HR  3645, F0III"
HR  3646, A0V"
HR  3647, A3/5III(m)"
HR  3648, G0V"
HR  3649, A9IV"
HR   365, K5"
HR  3650, G9V"
HR  3651, A0V"
HR  3652, ~"
HR  3653, G8III"
HR  3654, B5Ia"
HR  3655, A0mA5/7-F0"
HR  3656, B7V"
HR  3657, A2V"
HR  3658, B2III/IV"
HR  3659, B2IV-V"
HR   366, F5V"
HR  3660, K4III"
HR  3661, B8V(pSi)"
HR  3662, A6V"
HR  3663, B3V"
HR  3664, G6III"
HR  3665, B9.5V+DA1.6"
HR  3666, G8III"
HR  3667, A0V"
HR  3668, K2III"
HR  3669, K1III"
HR   367, G6III:"
HR  3670, B9V"
HR  3671, ~"
HR  3672, B7-8V"
HR  3673, G5III"
HR  3674, B3/5V"
HR  3675, A0V"
HR  3676, A1V"
HR  3677, K0/1III+A3/7"
HR  3678, A8/9IV"
HR  3679, G8II/III"
HR   368, F3V"
HR  3680, B8V"
HR  3681, K2/3III"
HR  3682, K1III"
HR  3683, B3III/IV"
HR  3684, F3/5V"
HR  3685, A1III-"
HR  3686, A8V"
HR  3687, K0III"
HR  3688, A0Iab"
HR  3689, A2IV"
HR   369, B9III"
HR  3690, A1V"
HR  3691, B6III"
HR  3692, K3Ib-II"
HR  3693, G8II"
HR  3694, K2III"
HR  3695, K1III"
HR  3696, M0.5IIIa"
HR  3697, F3V"
HR  3698, M4IIIa"
HR  3699, A7Ib"
HR    37, K4III"
HR   370, F9VFe+0.4"
HR  3700, K3III"
HR  3701, F3Vs+F3Vs"
HR  3702, A1V"
HR  3703, B7/8III"
HR  3704, K1/2III"
HR  3705, K6III"
HR  3706, G7III"
HR  3707, K3III"
HR  3708, B6Ia"
HR  3709, K0III"
HR   371, K1III"
HR  3710, B8V"
HR  3711, A1V"
HR  3712, F5VFe-0.7CH-0.5"
HR  3713, K2III"
HR  3714, F6V"
HR  3715, A0V"
HR  3716, K3/4III"
HR  3717, B3V"
HR  3718, M0.5IIIBa0.5"
HR  3719, A5Vs"
HR   372, K5"
HR  3720, A1V"
HR  3721, A0V"
HR  3722, K2III"
HR  3723, G5IV-V"
HR  3724, ApEuCrSr"
HR  3725, G2III"
HR  3726, M1III"
HR  3727, F0V"
HR  3728, G6III"
HR  3729, K2III"
HR   373, G6III:eFe-2"
HR  3730, G6/8III"
HR  3731, K2IIIb"
HR  3732, A3IV(s)"
HR  3733, G8.5IIIbFe-1"
HR  3734, B2IV"
HR  3735, A1mA5-F0"
HR  3736, G9III:"
HR  3737, A6/7III"
HR  3738, K4/5III"
HR  3739, A5Ia/ab"
HR   374, K0"
HR  3740, K1/2II/III"
HR  3741, K2+III"
HR  3742, K0III"
HR  3743, K0III"
HR  3744, A0V"
HR  3745, B5IVe"
HR  3746, A7III"
HR  3747, F3Vs"
HR  3748, K3IIIa"
HR  3749, K2+IIIb"
HR   375, G5III"
HR  3750, G1.5IV-V"
HR  3751, K3II-III"
HR  3752, A4V"
HR  3753, B6V"
HR  3754, G1V"
HR  3755, K0III"
HR  3756, A5III/IV"
HR  3757, F0V"
HR  3758, A5/7IV+F/G"
HR  3759, F5V"
HR   376, K0"
HR  3760, A7/8V+(F/G)"
HR  3761, A3Vn"
HR  3762, G8III/IV"
HR  3763, K4/5III"
HR  3764, G8III:"
HR  3765, K3III"
HR  3766, A6V"
HR  3767, K2/3III"
HR  3768, F7V"
HR  3769, M1III"
HR   377, F6V+K1V"
HR  3770, K2IIICNII"
HR  3771, G5III-IV"
HR  3772, K2III"
HR  3773, K4.5III"
HR  3774, B9III"
HR  3775, F7V"
HR  3776, K1III"
HR  3777, K0/1III"
HR  3778, A4V"
HR  3779, K2.5IIIFe-0.5"
HR   378, A1V"
HR  3780, A1V"
HR  3781, A1V"
HR  3782, G9.5III"
HR  3783, A0V"
HR  3784, B8III"
HR  3785, WN"
HR  3786, F3VFe-0.7"
HR  3787, A2V"
HR  3788, K2III"
HR  3789, A9IV"
HR   379, A5m"
HR  3790, K3III"
HR  3791, K4III:"
HR  3792, A3Vnn"
HR  3793, M2III"
HR  3794, K0III+A/F"
HR  3795, F3/5III/V"
HR  3796, A4III"
HR  3797, F0V"
HR  3798, F3V"
HR  3799, A0Vn"
HR    38, B3III"
HR   380, A0V"
HR  3800, G7.5IIIb"
HR  3801, K0III"
HR  3802, K4III"
HR  3803, K5III"
HR  3804, K7III"
HR  3805, K2III"
HR  3806, F2V"
HR  3807, G8III"
HR  3808, K0III"
HR  3809, G9.5IIIbFe-1"
HR   381, F0IVn"
HR  3810, B9.5V"
HR  3811, kA3hF3mF2"
HR  3812, F2IV/V"
HR  3813, K1III"
HR  3814, K1II/III"
HR  3815, G8Va"
HR  3816, M5-8"
HR  3817, B5III"
HR  3818, A1V"
HR  3819, B2IV"
HR   382, F0Ia"
HR  3820, M2III"
HR  3821, K4III"
HR  3822, A0V"
HR  3823, F5V"
HR  3824, K5"
HR  3825, B5II"
HR  3826, K1III"
HR  3827, K1III"
HR  3828, F3IV/V"
HR  3829, F0V"
HR   383, A3V"
HR  3830, K0III"
HR  3831, A8VSrCrEu+F9V"
HR  3832, A0Vp"
HR  3833, K1III"
HR  3834, K3III"
HR  3835, K2III"
HR  3836, A7V"
HR  3837, K0III"
HR  3838, G9III:"
HR  3839, K0III"
HR   384, A2Vnn"
HR  3840, A2/3V"
HR  3841, A2V"
HR  3842, G8IIIBa1.5"
HR  3843, K2III"
HR  3844, F6V"
HR  3845, K2.5III"
HR  3846, A0V"
HR  3847, F0V:"
HR  3848, A2III"
HR  3849, B3/5IV/V"
HR   385, G8IV+A(8)"
HR  3850, K6III"
HR  3851, G8III"
HR  3852, F8-G0III+A7m"
HR  3853, K2III:"
HR  3854, A1V"
HR  3855, A5m"
HR  3856, B9IV/V"
HR  3857, F3V"
HR  3858, B5V"
HR  3859, F3Vn"
HR   386, A0Iab"
HR  3860, B4IV"
HR  3861, A2IV"
HR  3862, F9V"
HR  3863, A3IV"
HR  3864, K0/1III"
HR  3865, F2V"
HR  3866, M2III"
HR  3867, B9II"
HR  3868, B4IV"
HR  3869, K0"
HR   387, K0III"
HR  3870, M3III"
HR  3871, A7V+G8III"
HR  3872, B6V"
HR  3873, G1IIIa"
HR  3874, F2IV/V"
HR  3875, A0IV"
HR  3876, M1III"
HR  3877, K4III"
HR  3878, B0IV"
HR  3879, F0/2IV"
HR   388, K0/1III"
HR  3880, A7Vn"
HR  3881, G0.5Va"
HR  3882, M7-9e"
HR  3883, B8III"
HR  3884, G5Iab/b"
HR  3885, A9Vn"
HR  3886, B2V"
HR  3887, F5III/IV"
HR  3888, F0"
HR  3889, A7IVn"
HR   389, K5III"
HR  3890, A9"
HR  3891, B7III"
HR  3892, K2III"
HR  3893, F5V"
HR  3894, A3IV"
HR  3895, K0III"
HR  3896, M0III"
HR  3897, K0III"
HR  3898, B7III"
HR  3899, A4V"
HR    39, B2IV"
HR   390, K0-IIIb"
HR  3900, A5IV"
HR  3901, G1V"
HR  3902, G8III"
HR  3903, G7III"
HR  3904, K0IIICNIb"
HR  3905, K2IIIbCN1Ca1"
HR  3906, A0III/IV"
HR  3907, K0III"
HR  3908, K0III"
HR  3909, A0/1V"
HR   391, F4V"
HR  3910, K2III"
HR  3911, K0"
HR  3912, G6IIa"
HR  3913, K2IIICNIV/Vp"
HR  3914, K1IIICNII"
HR  3915, M2III"
HR  3916, G1V"
HR  3917, A3III"
HR  3918, K3III:"
HR  3919, K2+IIICN0.5"
HR   392, K5III"
HR  3920, B1IIIn"
HR  3921, A1IVn"
HR  3922, G6III:Fe-0.5"
HR  3923, K5III"
HR  3924, B2.5III"
HR  3925, B5V"
HR  3926, K2III:"
HR  3927, A0V"
HR  3928, F6V"
HR  3929, K0III"
HR   393, K0III"
HR  3930, M1III"
HR  3931, A6V"
HR  3932, K1III"
HR  3933, A4V"
HR  3934, K0"
HR  3935, B2/3III/IV"
HR  3936, F2V"
HR  3937, B6IV"
HR  3938, K3III"
HR  3939, K5III"
HR   394, F5/6V"
HR  3940, B5Ib"
HR  3941, B3III"
HR  3942, G9III:"
HR  3943, B2V"
HR  3944, B1Ib"
HR  3945, A3V"
HR  3946, B5IVe"
HR  3947, F1V"
HR  3948, K0/1III"
HR  3949, B3V"
HR   395, A2Vm"
HR  3950, M2-III"
HR  3951, G3VaHdel1"
HR  3952, B2V"
HR  3953, K0III"
HR  3954, F5V"
HR  3955, B2/3IV/V"
HR  3956, K1III"
HR  3957, K1II"
HR  3958, A5IV"
HR  3959, M0+III"
HR   396, G8IV"
HR  3960, F0II"
HR  3961, F3V"
HR  3962, A0V"
HR  3963, B8V"
HR  3964, A0V"
HR  3965, F0V"
HR  3966, A6II/III"
HR  3967, K3Ib"
HR  3968, K1III"
HR  3969, F2Vn"
HR   397, K5"
HR  3970, B8V"
HR  3971, B3/5Vne"
HR  3972, K1III"
HR  3973, K1III"
HR  3974, A7V(n)"
HR  3975, A0Ib"
HR  3976, K1III+(G)"
HR  3977, K5III-IIIb"
HR  3978, K1III"
HR  3979, F4V"
HR   398, A0Vnn"
HR  3980, K3.5IIIbFe-1:"
HR  3981, A0III"
HR  3982, B8IVn"
HR  3983, A0IV"
HR  3984, K0III"
HR  3985, A0IV"
HR  3986, A0V"
HR  3987, K3III:"
HR  3988, A5III"
HR  3989, A0V"
HR   399, K0III-IIIbCN0.5"
HR  3990, B3III/IV"
HR  3991, F3V"
HR  3992, G0V"
HR  3993, K3III"
HR  3994, K0IIIbCN0.5"
HR  3995, K0III"
HR  3996, K2/3III"
HR  3997, G6/8III"
HR  3998, F6V"
HR  3999, K5-M6e"
HR     4, G5III"
HR    40, F8V"
HR   400, M0III"
HR  4000, A0V"
HR  4001, K2/3III"
HR  4002, A0IV"
HR  4003, A0V"
HR  4004, K0III:"
HR  4005, F7V"
HR  4006, G3IIIbFe-1"
HR  4007, M3III"
HR  4008, M0IIIv"
HR  4009, B5Vne"
HR   401, A9V"
HR  4010, K2IIICNII"
HR  4011, A9mA8-F3"
HR  4012, F9V"
HR  4013, G0V"
HR  4014, G8III"
HR  4015, K1III"
HR  4016, F2V"
HR  4017, F0IV"
HR  4018, B5(III)e"
HR  4019, G8III"
HR   402, K0IIIb"
HR  4020, A3IV/V"
HR  4021, A7m"
HR  4022, B3V"
HR  4023, A2Va"
HR  4024, A0Vn"
HR  4025, A4mA6-F0"
HR  4026, A8III"
HR  4027, G2V"
HR  4028, A9IV"
HR  4029, K0III"
HR   403, A5IV"
HR  4030, G1.5IV-V"
HR  4031, F0IIIa"
