name,spectral_type
HR  1457, K5+III"
HR  1458, A5m"
HR  1459, F2"
HR   146, A3III"
HR  1460, A2IIIs"
HR  1461, K2IIICNIb"
HR  1462, B5III"
HR  1463, B2III"
HR  1464, G8+III"
HR  1465, B8IIIpSi"
HR  1466, A8V"
HR  1467, G9III"
HR  1468, F7V"
HR  1469, B8IV"
HR   147, F5V+"
HR  1470, F0"
HR  1471, B8V"
HR  1472, F0V"
HR  1473, A6V"
HR  1474, F0IV"
HR  1475, K1III"
HR  1476, ApSi"
HR  1477, A3"
HR  1478, A4m"
HR  1479, A5Vn"
HR   148, K0IV"
HR  1480, A5m"
HR  1481, K2-IIIb"
HR  1482, A0V"
HR  1483, A0V"
HR  1484, B8IV"
HR  1485, A7IV/V"
HR  1486, A7IV"
HR  1487, K0.5IVa"
HR  1488, K0II/III"
HR  1489, F9IV-V"
HR   149, B8.5IIIpHgMn"
HR  1490, A2V"
HR  1491, A9IV"
HR  1492, M8III:e"
HR  1493, B9III"
HR  1494, A1Vn"
HR  1495, G6/8III"
HR  1496, M3/4III"
HR  1497, B3V"
HR  1498, K2III"
HR  1499, G0"
HR    15, B8IV-VHgMn"
HR   150, K0III"
HR  1500, B8V"
HR  1501, A8V"
HR  1502, F2V"
HR  1503, F3IV"
HR  1504, G3V+G3V"
HR  1505, F2VpSrSi"
HR  1506, G5III"
HR  1507, F0V"
HR  1508, B2(V)nne"
HR  1509, K3III"
HR   151, A5mA5-F0"
HR  1510, A0IV"
HR  1511, A3m"
HR  1512, B"
HR  1513, A1V"
HR  1514, G9III"
HR  1515, F2V"
HR  1516, K0/1III"
HR  1517, K4III"
HR  1518, K3/4III"
HR  1519, Am"
HR   152, K6IIIa"
HR  1520, B5IV"
HR  1521, K4III"
HR  1522, A0/1V"
HR  1523, K3III"
HR  1524, A0V"
HR  1525, A7VkA3mA3"
HR  1526, K1III"
HR  1527, M2III"
HR  1528, A8m"
HR  1529, K1III"
HR   153, B2IV"
HR  1530, A8/9III/IV"
HR  1531, K2III"
HR  1532, G2.5IV-V"
HR  1533, K3+III"
HR  1534, K0III"
HR  1535, G9III"
HR  1536, G2IV"
HR  1537, K3III"
HR  1538, F8V"
HR  1539, K0III"
HR   154, B5V"
HR  1540, K0/1III"
HR  1541, B8II/III(pSi)"
HR  1542, O9Ia"
HR  1543, F6V"
HR  1544, A1Vn"
HR  1545, F6VFe-0.9CH-0.5"
HR  1546, A2V"
HR  1547, A7IV-V"
HR  1548, G8III"
HR  1549, K0III"
HR   155, B2.5IV"
HR  1550, A3III"
HR  1551, K3-IIIBa0.4"
HR  1552, B2III"
HR  1553, B5V"
HR  1554, F2IVn"
HR  1555, B9.5V"
HR  1556, M3SIII"
HR  1557, F2/3V"
HR  1558, A0V"
HR  1559, A2/3V"
HR   156, K2III"
HR  1560, A9IVn"
HR  1561, A2Vs"
HR  1562, M1III"
HR  1563, F0V"
HR  1564, F4V"
HR  1565, A0III/IV"
HR  1566, F1V(n)"
HR  1567, B2III"
HR  1568, A1V"
HR  1569, A3V"
HR   157, G2Ib-II"
HR  1570, A0Va_lB"
HR  1571, K1III"
HR  1572, K5III"
HR  1573, B2.5Ib"
HR  1574, B5/7II"
HR  1575, F0"
HR  1576, B9V"
HR  1577, K3II-III"
HR  1578, A0V"
HR  1579, G8/K0III"
HR   158, F9V"
HR  1580, K2-IIIb"
HR  1581, G6/8III"
HR  1582, B5III"
HR  1583, F0V"
HR  1584, K3III"
HR  1585, K1III"
HR  1586, K0III"
HR  1587, K0"
HR  1588, K3III"
HR  1589, A1V"
HR   159, K1V+G"
HR  1590, A0V"
HR  1591, F3/5III"
HR  1592, A1V"
HR  1593, F4V"
HR  1594, F6V:"
HR  1595, B2V"
HR  1596, A1V"
HR  1597, F5V"
HR  1598, M0/1III"
HR  1599, F5V"
HR    16, K1II"
HR   160, K2/3III"
HR  1600, B7IIIe"
HR  1601, K2-IIb"
HR  1602, K5III"
HR  1603, G1Ib"
HR  1604, hF5gF5mF3"
HR  1605, A9Ia"
HR  1606, F9VFe-0.5"
HR  1607, C76e"
HR  1608, G4IV-V+DA"
HR  1609, B9V"
HR   161, K3III"
HR  1610, B9V"
HR  1611, F0V"
HR  1612, K5II+B7V"
HR  1613, A9V"
HR  1614, K3+V"
HR  1615, A3III"
HR  1616, kA6hA9mF5(III)EuSr"
HR  1617, B3IV"
HR  1618, K2III"
HR  1619, B7V"
HR   162, K0II/IIICNIV"
HR  1620, A7V"
HR  1621, B9V"
HR  1622, B3Ve"
HR  1623, K0IIIe"
HR  1624, K5II"
HR  1625, K2IIIbCN1"
HR  1626, K0II-III"
HR  1627, A4mF2"
HR  1628, K1III"
HR  1629, K4III"
HR   163, G7IIIFe-3CH1"
HR  1630, G5"
HR  1631, G8III"
HR  1632, F0III"
HR  1633, K0"
HR  1634, K1IV"
HR  1635, K2III"
HR  1636, K1III"
HR  1637, F2V"
HR  1638, A1VpSiCr"
HR  1639, A5V"
HR   164, K5III"
HR  1640, B2IV"
HR  1641, B3V"
HR  1642, kA5m"
HR  1643, B9.5VpSi"
HR  1644, F0IIIa"
HR  1645, A2IV"
HR  1646, B4II/III"
HR  1647, F3V:"
HR  1648, C-N5"
HR  1649, F5V"
HR   165, K3III-IIIbCN0.5"
HR  1650, A0III:"
HR  1651, F8V"
HR  1652, K2III-IIIb"
HR  1653, F2IV/V"
HR  1654, K4III"
HR  1655, K2III"
HR  1656, G4V"
HR  1657, B9V"
HR  1658, A5IV"
HR  1659, B2V"
HR   166, K0.5V"
HR  1660, B2Ve"
HR  1661, B9.5/A0IV"
HR  1662, G3"
HR  1663, K5III"
HR  1664, kA4hF0mF5(III)Eu"
HR  1665, G0IV"
HR  1666, A3IV"
HR  1667, M2III"
HR  1668, F5V"
HR  1669, K:+B2II"
HR   167, K2IIIa"
HR  1670, A7VAm:"
HR  1671, B8III"
HR  1672, A2m"
HR  1673, F5.5VkF4mF2"
HR  1674, F9VFe-0.5"
HR  1675, A2III"
HR  1676, F2IV"
HR  1677, G8III"
HR  1678, A7Vn"
HR  1679, B2III(e)p"
HR   168, K0-IIIa"
HR  1680, K1III"
HR  1681, K1III"
HR  1682, K5/M0III"
HR  1683, A0V"
HR  1684, K5III"
HR  1685, K1-IV"
HR  1686, F7V"
HR  1687, F5V"
HR  1688, K2III-IV"
HR  1689, A4m"
HR   169, A1mA3-A7"
HR  1690, B8II/III"
HR  1691, A2/3V+KIII"
HR  1692, A0V"
HR  1693, M6III"
HR  1694, K1III/IV"
HR  1695, M3III"
HR  1696, B7.5Vn"
HR  1697, G7III"
HR  1698, K1III"
HR  1699, M1III"
HR    17, F8IV"
HR   170, F7V"
HR  1700, A1V"
HR  1701, A2/3V+(K)"
HR  1702, B9IV:HgMn"
HR  1703, K4III"
HR  1704, B5III"
HR  1705, B7V"
HR  1706, A8III"
HR  1707, M6.5-8.5e"
HR  1708, G3III:"
HR  1709, K4III"
HR   171, K1IIICNII"
HR  1710, A9II/III"
HR  1711, A2V"
HR  1712, O9.5V"
HR  1713, B8Iae"
HR  1714, A2V"
HR  1715, K4III"
HR  1716, G8/K0III"
HR  1717, F2/3V"
HR  1718, A0V"
HR  1719, B5V"
HR   172, G8III"
HR  1720, K4I"
HR  1721, G8III"
HR  1722, M4III"
HR  1723, B9V"
HR  1724, A0V"
HR  1725, K0"
HR  1726, K2.5IIIbCN-0.5"
HR  1727, K3III"
HR  1728, B9V+B9.5V"
HR  1729, G1.5IV-VFe-1"
HR   173, K0VFe-1.5CH-1.3"
HR  1730, A2III/IV"
HR  1731, B2V"
HR  1732, A0p"
HR  1733, K0"
HR  1734, A7V"
HR  1735, B5III"
HR  1736, G9III+A2m?"
HR  1737, G8IV"
HR  1738, A3V"
HR  1739, G8III"
HR   174, K0III"
HR  1740, A5II+"
HR  1741, K0III"
HR  1742, K2III"
HR  1743, K1IV"
HR  1744, K2+III"
HR  1745, A7III"
HR  1746, F5III-IV"
HR  1747, G0V"
HR  1748, B3V"
HR  1749, B3V"
HR   175, G8III"
HR  1750, B9IV"
HR  1751, A0Vne"
HR  1752, A1Vs"
HR  1753, B5Vs"
HR  1754, B7Vp"
HR  1755, K0III"
