name,alt_name,ra,dec,vmag,class,bv_color,ri_code,ri_color,spect_code,ub_color
HR 1164,,56.9538,32.195, 6.25,STAR G0,0.47,,,,
HR 1165,25Eta Tau,56.8713,24.105, 2.87,STAR B7III,-0.09,,-0.04,,-0.34
HR 1166,,57.9242,68.5075, 6.32,STAR B9IV,-0.08,,,,-0.23
HR 1167,,56.2108,-48.0614, 6.49,STAR G8III,1.02,,,,
HR 1168,,56.1408,-54.2739, 6.30,STAR K1III,1.04,,,,0.89
HR 1169,,56.3158,-47.3597, 5.73,STAR K1III,0.96,,,,
HR 117,12    Cet,7.51,-3.9572, 5.72,STAR M0III,1.56,,,,1.91
HR 1170,,57.2842,43.9631, 6.02,STAR A9IV,0.29,,,,0.09
HR 1171,Sig For,56.6142,-29.3381, 5.90,STAR A3V,0.12,,,,
HR 1172,,57.0871,23.4211, 5.45,STAR B8V,-0.07,,-0.06,,-0.32
HR 1173,27Tau6Eri,56.7121,-23.2497, 4.23,STAR F3III,0.42,,0.22,,0
HR 1174,30    Tau,57.0679,11.1433, 5.07,STAR B3V,-0.13,,,,-0.6
HR 1175,Bet Ret,56.05,-64.8069, 3.85,STAR K2III,1.13,,0.56,,1.1
HR 1176,,57.5187,44.9678, 5.66,STAR G2III,0.76,E,0.29,,
HR 1177,42    Per,57.3858,33.0914, 5.11,STAR A3V,0.07,,,,0.11
HR 1178,27    Tau,57.2904,24.0533, 3.63,STAR B8III,-0.09,,-0.05,,-0.36
HR 1179,,56.8338,-29.9019, 6.55,STAR F8V,0.49,,,,-0.03
HR 118,,7.5946,-23.7878, 5.19,STAR A5V,0.12,,,,
HR 1180,28    Tau,57.2967,24.1367, 5.09,STAR B8V,-0.08,,-0.07,v,-0.28
HR 1181,28Tau7Eri,56.915,-23.8747, 5.24,STAR A2,0.07,,,,0.15
HR 1182,,57.1621,0.2278, 5.91,STAR K3III,1.23,,,,1.31
HR 1183,,57.4313,23.7117, 6.17,STAR B8V,-0.05,,-0.05,,-0.19
HR 1184,Rho For,56.9833,-30.1678, 5.54,STAR G6III,0.98,,,,0.66
HR 1185,,57.4792,22.2444, 6.07,STAR B8III,-0.01,,-0.01,,-0.32
HR 1186,,56.9567,-36.1058, 6.21,STAR B8V,-0.1,,,,
HR 1187,,57.1492,-20.9031, 5.81,STAR K5III,1.64,,,,
HR 1188,,57.5788,25.5794, 5.26,STAR A2V,0.21,,,,0.08
HR 1189,,57.1475,-37.6222, 5.40,STAR A1V,0.01,,,,0.01
HR 119,,7.6158,-40.9394, 6.19,STAR F2III,0.33,,,,0.14
HR 1190,,57.1496,-37.6206, 4.73,STAR B9V,-0.03,,-0.04,,-0.07
HR 1191,,57.9738,34.3592, 5.77,STAR B1V,0,,,,-0.8
HR 1192,,58.4304,57.975, 5.80,STAR A5,0.18,,0.04,,0.11
HR 1193,,57.9025,22.0317, 6.83,STAR K0III,,,,,
HR 1194,,57.8158,13.0458, 6.30,STAR B9,-0.07,,,,-0.48
HR 1195,,57.3638,-36.2003, 4.17,STAR G9II,0.95,,0.5,,0.69
HR 1196,,59.1258,71.8217, 6.34,STAR A5,0.3,,,,0
HR 1197,,58.0179,31.1683, 6.25,STAR A5V,0.2,,,,0.14
HR 1198,,58.4113,48.6506, 5.76,STAR K0III,1.05,,,,0.95
HR 1199,31    Tau,58.0008,6.5347, 5.67,STAR B5V,0.06,,,,-0.43
HR 12,,1.945,-22.5089, 5.94,STAR A2V,0.14,,,,0.06
HR 120,,7.6087,-48.215, 5.69,STAR F2V,0.35,,,,0.05
HR 1200,,57.6567,-36.4253, 6.86,STAR B9V,-0.04,,,,
