name,alt_name,ra,dec,vmag,class,bv_color,ri_code,ri_color,spect_code,ub_color
HR 4842,Iot Cru,191.4079,-60.9811, 4.69,STAR K0III,1.05,,0.52,,0.94
HR 4843,,191.1129,44.1031, 6.33,STAR F6IV,0.43,,,,
HR 4844,Bet Mus,191.5704,-68.1081, 3.05,STAR B2V,-0.18,,-0.21,,-0.74
HR 4845,10    CVn,191.2479,39.2789, 5.95,STAR G0V,0.55,,0.29,,-0.03
HR 4846,,191.2825,45.4403, 4.99,STAR,2.54,,1.39,,6.33
HR 4847,32    Vir,191.4046,7.6733, 5.22,STAR F0III,0.33,,0.16,,0.15
HR 4848,,191.5946,-56.4889, 4.65,STAR B3V,-0.16,,-0.18,v,-0.64
HR 4849,33    Vir,191.5938,9.54, 5.67,STAR K1III,0.99,,,,0.76
HR 485,,25.4133,30.0472, 5.99,STAR K0III,1.01,,0.46,,0.84
HR 4850,,191.6917,-33.3156, 5.86,STAR K3III,1.34,,,,1.6
HR 4851,27    Com,191.6613,16.5775, 5.12,STAR K3III,1.35,,0.68,,1.54
HR 4852,,191.1083,80.6211, 6.40,STAR A5,0.12,,,,0.13
HR 4853,Bet Cru,191.93,-59.6886, 1.25,STAR B0III,-0.23,,-0.26,,-1
HR 4854,,191.7596,5.9508, 6.34,STAR A0,-0.05,,,v,-0.06
HR 4855,34    Vir,191.8067,11.9581, 6.07,STAR A3V,0.12,,,,0.13
HR 4856,,191.8892,-6.3019, 6.26,STAR F7V,0.55,,,,0.07
HR 4857,,191.9738,-24.8517, 6.44,STAR B8III,-0.06,,,,-0.45
HR 4858,35    Vir,191.9642,3.5728, 6.41,STAR M3III,1.6,E,0.96,,1.83
HR 4859,,191.8288,62.7808, 5.89,STAR A9V,,,,,
HR 486,,24.9475,-56.1981, 5.87,STAR K0V,0.9,,,,0.59
HR 4860,,192.11,-27.5975, 5.66,STAR G5III,0.95,,,,0.61
HR 4861,28    Com,192.0596,13.5531, 6.56,STAR A1V,0.01,,,,0.01
HR 4862,,192.4371,-71.9864, 5.55,STAR G8I,1.17,,,,0.95
HR 4863,7    Dra,191.8933,66.7903, 5.43,STAR,1.56,,,,
HR 4864,,192.1958,24.8403, 6.31,STAR G7V,0.7,,,,0.25
HR 4865,29    Com,192.2258,14.1225, 5.70,STAR A1V,0.02,,-0.01,,0.07
HR 4866,11    CVn,192.1742,48.4669, 6.27,STAR A6,0.18,,,,0.17
HR 4867,,192.1642,60.32, 5.85,STAR F5V,0.46,,0.28,,-0.04
HR 4868,,192.55,-60.4008, 6.75,STAR A3II,0.35,,,,0.21
HR 4869,30    Com,192.3225,27.5522, 5.78,STAR A2V,0.03,,,,0.06
HR 487,,24.9492,-56.1947, 5.76,STAR K5V,0.87,,0.48,,0.53
HR 4870,Iot Oct,193.7442,-85.1233, 5.46,STAR K0III,1.02,,,,0.79
HR 4871,,192.5817,-48.4597, 6.24,STAR A0V,0.05,,,,
HR 4872,,192.7413,-52.7875, 5.73,STAR A5V,0.13,,,,
HR 4873,,192.5725,22.8633, 6.43,STAR K0III,1,,,,0.8
HR 4874,,192.6717,-33.9994, 4.91,STAR A0IV,-0.04,,,,-0.11
HR 4875,,192.5446,37.5169, 5.89,STAR A3V,0.15,,,,0.08
HR 4876,,192.8242,-60.3297, 5.72,STAR A2I,0.38,,,,-0.1
HR 4877,,192.8454,-10.3383, 6.41,STAR G8III,1.02,,,,0.79
HR 4878,37    Vir,192.9037,3.0567, 6.02,STAR,1.29,,,,1.44
HR 4879,,192.9867,-39.6808, 5.98,STAR B8V,-0.1,,,,
HR 488,,25.7433,61.4217, 6.34,STAR B7II,0.01,,,,-0.45
HR 4880,,193.0221,-48.0942, 6.33,STAR A0IV,0.03,,,,0.02
HR 4881,,192.9913,-26.7381, 6.15,STAR A0III,0.23,,,,
HR 4882,,193.1025,-53.8294, 6.24,STAR G8I,1.13,,,,
HR 4883,31    Com,192.9246,27.5406, 4.94,STAR G0III,0.67,,0.35,,0.2
HR 4884,32    Com,193.0513,17.0739, 6.32,STAR M0III,1.59,,,,1.99
HR 4885,,193.2663,-54.9525, 5.93,STAR K2III,1.31,E,0.5,,1.4
HR 4886,,193.115,16.1225, 6.30,STAR A7V,0.16,,,,0.1
HR 4887,,193.3408,-60.3286, 5.76,STAR B9I,0.33,,,,-0.42
HR 4888,,193.2787,-48.9433, 4.33,STAR K3III,1.37,,0.75,,1.58
HR 4889,,193.3592,-40.1789, 4.27,STAR A7III,0.21,,0.14,,0.12
HR 489,106Nu  Psc,25.3579,5.4875, 4.44,STAR K3III,1.36,,0.71,,1.57
HR 4890,Kap Cru,193.4546,-60.3769, 5.90,STAR B5I,0.2,,,t,-0.65
HR 4891,38    Vir,193.2967,-3.5531, 6.11,STAR F5V,0.5,,,,0.04
HR 4892,,192.2775,83.4181, 5.85,STAR A0V,-0.06,,,,-0.12
HR 4893,,192.3067,83.4128, 5.28,STAR A1III,-0.03,,,,-0.06
HR 4894,35    Com,193.3242,21.245, 4.90,STAR G8III,0.9,,0.45,,0.64
HR 4895,,193.5917,-58.4306, 6.58,STAR F7I,0.76,,,v,0.6
HR 4896,,193.4088,-4.2239, 6.44,STAR K0,1.1,,,,1.02
HR 4897,Lam Cru,193.6633,-59.1467, 4.62,STAR B4V,-0.15,,-0.16,,-0.61
HR 4898,Mu 1Cru,193.6483,-57.1778, 4.03,STAR B2IV,-0.17,,-0.24,,-0.76
HR 4899,Mu 2Cru,193.6533,-57.1683, 5.17,STAR B5V,-0.12,,-0.06,,-0.51
HR 49,,3.7338,22.2842, 6.24,STAR A1,-0.01,,,,0.12
HR 490,,25.5146,35.2456, 5.64,STAR B9IV,-0.07,,,,-0.2
HR 4900,41    Vir,193.4571,12.4186, 6.25,STAR A7III,0.27,,0.15,,0.05
HR 4901,,193.5779,-11.6486, 6.00,STAR A2V,0.08,,,,
HR 4902,40Psi Vir,193.5883,-9.5389, 4.79,STAR M3III,1.6,,1.28,e,1.53
HR 4903,,193.7437,-44.1519, 5.89,STAR G1V,0.64,,,,0.25
HR 4904,,193.5546,33.5344, 6.26,STAR A7IV,0.2,,,,0.09
HR 4905,77Eps UMa,193.5071,55.9597, 1.77,STAR A0,-0.02,,-0.03,,0.02
HR 4906,,193.8308,-42.9158, 5.47,STAR M0III,1.68,,,,2.05
HR 4907,,194.1313,-72.1853, 5.93,STAR G8III,1.13,,,,0.9
HR 4908,,193.9875,-56.8361, 5.32,STAR O9I,0.01,,,,-0.84
HR 4909,,193.7354,47.1967, 5.84,STAR M5III,1.55,,,,1.57
HR 491,44    Cas,25.8321,60.5511, 5.78,STAR B8III,-0.02,,,,-0.32
HR 4910,43Del Vir,193.9008,3.3975, 3.38,STAR M3III,1.58,,1.33,e,1.78
HR 4911,,193.9721,-15.3269, 6.17,STAR A0V,0,,,,
HR 4912,,194.1254,-26.4603, 6.62,STAR F3I,0.68,,,,
HR 4913,,194.2683,-51.1986, 5.16,STAR B8V,-0.06,,,,-0.32
HR 4914,12Alp1CVn,194.0017,38.3147, 5.60,STAR F0V,0.34,,0.23,,-0.03
HR 4915,12Alp2CVn,194.0071,38.3183, 2.90,STAR A0,-0.12,,-0.06,,-0.32
HR 4916,8    Dra,193.8687,65.4386, 5.24,STAR F0V,0.28,,,,0.02
HR 4917,,194.0733,54.0994, 5.82,STAR A5,0.19,,0.08,,0.08
HR 4918,,194.3883,-22.7539, 6.31,STAR G5,1.07,,,,
HR 4919,,194.2821,46.1769, 6.12,STAR K0III,1.01,,,,0.8
HR 492,,25.4363,-11.3247, 5.75,STAR F5V,0.44,,,,-0.01
HR 4920,36    Com,194.7308,17.4094, 4.78,STAR M1III,1.56,,0.95,,1.96
HR 4921,44    Vir,194.9146,-3.8119, 5.79,STAR A3V,0.18,,,,0.08
HR 4922,,195.1358,-33.5053, 6.02,STAR F0V,0.38,,,,
HR 4923,Del Mus,195.5675,-71.5489, 3.62,STAR K2III,1.18,,0.59,,1.26
HR 4924,37    Com,195.0688,30.785, 4.90,STAR G9III,1.17,,0.58,,1.05
HR 4925,46    Vir,195.1496,-3.3686, 5.99,STAR K2III,1.12,,,,1.1
HR 4926,,195.1617,18.3731, 6.20,STAR F6V,0.42,,,,0.02
HR 4927,,194.6971,75.4725, 6.01,STAR K0III,0.99,,,,0.75
HR 4928,9    Dra,194.9796,66.5972, 5.32,STAR K2III,1.29,,,,1.29
HR 4929,38    Com,195.29,17.1231, 5.96,STAR K0III,0.96,,,,
HR 493,107    Psc,25.6242,20.2686, 5.24,STAR K1V,0.84,,0.43,,0.49
HR 4930,,195.7717,-71.4761, 6.03,STAR B1III,0.05,,,v,-0.87
HR 4931,78    UMa,195.1825,56.3664, 4.93,STAR F2V,0.36,,0.21,,0.01
HR 4932,47Eps Vir,195.5442,10.9592, 2.83,STAR G8III,0.94,,0.45,,0.73
HR 4933,Xi 1Cen,195.8883,-49.5272, 4.85,STAR A0V,0.02,,,,0.03
HR 4934,,195.445,63.6103, 6.00,STAR F6V,0.41,,,,0.02
HR 4935,,195.9421,-20.5831, 5.58,STAR F7V,0.56,,,,0.07
HR 4936,,195.6683,59.7161, 6.53,STAR A3V,0.05,,0.03,,0.06
HR 4937,48    Vir,195.9767,-3.6633, 6.59,STAR F0V,0.29,,,,0.11
HR 4938,,196.2004,-41.1967, 6.26,STAR M3III,1.68,,,,1.83
HR 4939,,196.3783,-52.115, 6.43,STAR M1III,1.7,,,,1.99
HR 494,,25.3638,-38.1331, 6.17,STAR F2V,0.42,,,,0.04
HR 4940,,196.5696,-48.4636, 4.71,STAR B5V,-0.14,,-0.14,,-0.58
HR 4941,,196.6463,-41.5886, 5.59,STAR K0II,1.05,,,,
HR 4942,Xi 2Cen,196.7275,-49.9061, 4.27,STAR B1V,-0.19,,-0.2,,-0.79
HR 4943,14    CVn,196.4354,35.7989, 5.25,STAR B9V,-0.08,,,,-0.2
HR 4944,,196.8508,-59.8606, 5.99,STAR F8IV,0.48,,,,0.12
HR 4945,,196.4679,45.2686, 5.63,STAR K1III,1.13,,,,
HR 4946,39    Com,196.5883,21.1533, 5.99,STAR F4V,0.39,,,,0
HR 4947,,196.7263,-35.8619, 6.54,STAR A0IV,-0.02,,,,-0.02
HR 4948,,196.5425,29.0294, 6.54,STAR A3IV,0.05,,,,0.09
HR 4949,40    Com,196.5942,22.6161, 5.60,STAR M5III,1.59,,1.81,,1.63
HR 495,,25.8188,45.3222, 6.34,STAR K2IV,1.01,,0.48,,0.92
HR 4950,,196.2071,73.0253, 6.31,STAR F0V,,,,,
HR 4951,,196.9096,-53.4597, 5.71,STAR B8V,-0.07,,,,-0.27
HR 4952,The Mus,197.0292,-65.3064, 5.51,STAR B0I,-0.02,,,v,-0.87
HR 4953,,196.5946,62.0419, 6.14,STAR G7III,0.99,,,,0.65
HR 4954,41    Com,196.7946,27.6247, 4.80,STAR K5III,1.48,,0.81,,1.85
HR 4955,49    Vir,196.9742,-10.7403, 5.19,STAR K2III,1.14,,0.58,,1.12
HR 4956,,196.9733,27.5558, 6.19,STAR K4III,1.36,E,0.48,,1.64
HR 4957,,197.1354,-8.9844, 5.55,STAR K3III,1.18,,,,1.18
HR 4958,45Psi Hya,197.2637,-23.1181, 4.95,STAR K1III,1.05,,,,0.93
HR 4959,,197.31,-9.5383, 6.32,STAR K0,1.02,,,,0.79
HR 496,Phi Per,25.915,50.6886, 4.07,STAR B2V,-0.04,,0.02,,-0.93
HR 4960,,197.3017,10.0222, 5.78,STAR K0III,1,,,,
HR 4961,50    Vir,197.4388,-10.3294, 5.94,STAR K5III,1.49,,,,1.69
HR 4962,,197.4492,16.8486, 5.91,STAR K5III,1.45,,,,1.65
HR 4963,51The Vir,197.4875,-5.5389, 4.38,STAR A1IV,-0.01,,0,,-0.01
HR 4964,,197.4113,37.4231, 6.02,STAR K3III,1.15,,,,
HR 4965,,197.7433,-52.5669, 6.06,STAR A0,-0.09,,,,-0.38
HR 4966,,197.965,-69.9419, 5.91,STAR F3IV,0.42,,,,-0.03
HR 4967,15    CVn,197.425,38.5339, 6.28,STAR B7III,-0.12,,,,-0.48
HR 4968,42Alp Com,197.4971,17.5294, 5.22,STAR F5V,0.45,,,,-0.06
HR 4969,42Alp Com,197.4971,17.5294, 5.22,STAR F5V,,,,,
HR 497,Pi  Scl,25.5358,-32.3269, 5.25,STAR K0III,1.05,,0.54,,0.79
HR 4970,,197.7867,-42.2331, 5.79,STAR F7IV,0.52,,,,
HR 4971,17    CVn,197.5133,38.4989, 5.91,STAR A9III,0.29,,,,
HR 4972,,197.9713,-63.3028, 6.33,STAR A8II,0.44,,,,0.35
HR 4973,,197.8467,-43.3689, 5.25,STAR K1III,1.05,E,0.36,,0.92
HR 4974,,197.4592,62.2292, 6.54,STAR A1V,-0.02,,,,-0.02
HR 4975,,198.0725,-59.9208, 4.60,STAR B8V,-0.08,,-0.09,,-0.38
HR 4976,,198.5717,-78.4472, 5.85,STAR F8I,1.07,,,,0.72
HR 4977,,198.2038,-66.2269, 5.90,STAR A0V,0.06,,,,0.04
HR 4978,,197.9133,-26.5517, 6.50,STAR A5V,0.19,,,,
HR 4979,,198.0133,-37.8031, 4.85,STAR G3V,0.7,,0.36,,0.31
HR 498,,25.5125,-36.8325, 5.72,STAR A1V,-0.01,,-0.01,,
HR 4980,,198.2333,-59.8167, 6.16,STAR G0V,0.6,,,,0.08
HR 4981,53    Vir,198.0146,-16.1986, 5.04,STAR F5III,0.46,,,,0.02
HR 4982,,198.2121,-42.6997, 6.22,STAR K0III,1.06,,,,
HR 4983,43Bet Com,197.9683,27.8781, 4.26,STAR F9V,0.57,,0.3,,0.07
HR 4984,,198.035,24.2581, 6.33,STAR K1III,0.98,,,,
HR 4985,,198.3479,-50.7, 5.89,STAR B9V,-0.02,,,,
HR 4986,,198.1371,11.5561, 5.77,STAR M0III,1.51,,,,
HR 4987,,198.1496,18.7517, 6.53,STAR G8III,0.88,,,,
HR 4988,,198.5504,-58.6839, 5.89,STAR K0III,1.08,,,,
HR 4989,,198.5617,-59.1033, 4.92,STAR F7IV,0.48,,0.27,,
HR 499,,26.0746,57.5364, 6.21,STAR A3V,0.1,,,,0.03
HR 4990,54    Vir,198.3617,-18.8267, 6.28,STAR B9III,0.09,,,,0.01
HR 4991,,198.4896,-43.1389, 6.16,STAR K4III,1.38,,,,1.62
HR 4992,,198.3017,18.7269, 6.11,STAR G8III,1.2,,,,
HR 4993,Eta Mus,198.8121,-67.8944, 4.80,STAR B8V,-0.08,,-0.08,,-0.35
HR 4994,,198.8571,-69.6797, 6.37,STAR K2III,1.21,,,,1.33
HR 4995,55    Vir,198.5454,-19.9308, 5.33,STAR G6V,0.87,,,,0.44
HR 4996,,198.6796,-48.9567, 5.89,STAR K1III,1.06,,,,0.93
HR 4997,,198.4292,40.1528, 4.92,STAR G8III,1.06,,0.49,,0.93
HR 4998,,198.6304,11.3317, 5.67,STAR M0III,1.5,,0.9,,1.86
HR 4999,,198.7904,-36.3711, 6.19,STAR K1III,0.97,,,,
HR 5,,1.5667,58.4367, 5.96,STAR G5V,0.67,,,,0.2
HR 50,35    Psc,3.745,8.8208, 5.79,STAR F0IV,0.31,,,,0.04
HR 500,,25.6812,-3.6903, 4.99,STAR K3II,1.38,,,,1.58
HR 5000,,199.1867,-65.1383, 6.07,STAR F5V,0.44,,,,-0.02
HR 5001,57    Vir,198.995,-19.9431, 5.22,STAR K1III,1.03,,,,0.87
HR 5002,,199.3042,-66.7836, 4.87,STAR K2I,1.5,,0.75,,1.58
HR 5003,,198.3833,72.7989, 6.59,STAR A2V,0.08,,,,0.07
HR 5004,19    CVn,198.8833,40.8553, 5.79,STAR A7V,0.19,,,,0.12
HR 5005,,199.1062,-1.3906, 6.68,STAR F1IV,0.31,,,,0.08
HR 5006,,199.2213,-31.5061, 5.10,STAR K1III,0.96,,,,0.61
HR 5007,,199.0596,19.0517, 6.45,STAR G8III,0.98,,,,0.75
HR 5008,,199.3079,-43.9794, 5.84,STAR A0,0.2,,0.09,,0.15
HR 5009,,198.1058,80.4714, 6.25,STAR K0I,0.94,,,,
HR 501,,25.4212,-50.0389, 6.64,STAR A3V,0.12,C,0.07,,0.12
HR 5010,,199.1346,19.7853, 6.45,STAR F0V,0.25,,,,0.08
HR 5011,59    Vir,199.1938,9.4242, 5.22,STAR G0V,0.59,E,0.2,,0.1
HR 5012,,199.8288,-72.0356, 6.04,STAR K3III,1.35,,,,1.46
HR 5013,,199.315,13.6756, 5.33,STAR K3III,1.31,,0.66,,1.51
HR 5014,,199.3746,-0.6767, 6.37,STAR F0V,0.26,,,,0.04
HR 5015,60Sig Vir,199.4012,5.4697, 4.80,STAR M1III,1.67,E,0.84,,1.95
HR 5016,,199.6442,-51.2861, 6.19,STAR A0V,0.01,,,,
HR 5017,20    CVn,199.3854,40.5725, 4.73,STAR F3III,0.3,,0.15,,0.21
HR 5018,,199.1192,68.4081, 6.20,STAR B9V,-0.06,,,,-0.16
HR 5019,61    Vir,199.6013,-18.3114, 4.74,STAR G6V,0.71,,0.36,,0.26
HR 502,,26.1921,57.0892, 6.25,STAR A2V,0.04,,,,0.06
HR 5020,46Gam Hya,199.7304,-23.1717, 3.00,STAR G8III,0.92,,0.47,,0.66
HR 5021,,199.7129,3.6878, 6.62,STAR A1IV,0.06,,,,0.03
HR 5022,,199.6158,34.0981, 5.82,STAR K4III,1.35,,,,
HR 5023,21    CVn,199.5604,49.6819, 5.15,STAR A0V,-0.07,,,,-0.2
HR 5024,,200.1454,-59.7733, 6.18,STAR F3II,0.43,,,,
HR 5025,,199.7675,35.1281, 6.02,STAR F0IV,0.24,,,,
HR 5026,,200.1575,-52.7481, 5.48,STAR B6V,-0.13,,-0.15,,-0.52
HR 5027,,200.2012,-55.8006, 6.02,STAR B0I,0.29,,0.22,e,-0.69
HR 5028,Iot Cen,200.1492,-36.7122, 2.75,STAR A2V,0.04,,-0.01,,0.03
HR 5029,,200.2404,-46.8806, 5.77,STAR K1III,1.12,,,,1.01
HR 503,,25.9583,32.1917, 6.34,STAR G8III,,,,,
HR 5030,,200.7192,-72.1467, 6.05,STAR B6V,0.09,,,,-0.34
HR 5031,,200.1733,2.9417, 6.26,STAR A3V,0.1,,,,0.1
HR 5032,23    CVn,200.0792,40.1506, 5.60,STAR K1III,1.2,,,,
HR 5033,,200.3746,-19.4889, 6.21,STAR A2V,0.09,,,,0.08
HR 5034,,200.6487,-60.9722, 6.18,STAR B2V,0.01,,,,-0.58
HR 5035,,200.6579,-60.9883, 4.53,STAR B3V,-0.13,,-0.15,,-0.6
HR 5036,,200.5675,-52.1831, 5.83,STAR B2I,0.12,,,,-0.72
HR 5037,,200.4233,2.0872, 5.69,STAR A2V,0.06,,,,0.03
HR 5038,,200.7196,-47.9431, 6.16,STAR A4V,0.18,,,,
HR 5039,,200.7608,-48.5628, 6.38,STAR B6IV,-0.07,,,,-0.44
HR 504,,26.1104,46.1397, 6.35,STAR K5III,,,,,
HR 5040,64    Vir,200.5404,5.1547, 5.87,STAR A2,0.12,,0.04,,0.1
HR 5041,,201.0021,-64.5358, 4.53,STAR G6II,0.85,,0.43,,0.47
HR 5042,Iot1Mus,201.2796,-74.8878, 5.05,STAR K0III,1.11,,0.54,,1.01
HR 5043,,200.7863,-33.19, 6.22,STAR M1III,1.65,E,0.94,,1.96
HR 5044,63    Vir,200.7546,-17.7353, 5.37,STAR K0III,0.99,,0.49,,0.75
HR 5045,,200.5158,43.9031, 6.35,STAR A7,0.24,,0.14,,0.06
HR 5046,,200.9679,-49.8231, 6.48,STAR G8III,0.96,,,,
HR 5047,65    Vir,200.8288,-4.9244, 5.89,STAR K3III,1.43,,,,1.66
HR 5048,,201.3079,-64.4853, 5.31,STAR F2III,0.4,,,,-0.01
HR 5049,,201.4588,-70.6275, 5.67,STAR A0,-0.03,,,,-0.18
HR 505,,25.45,-60.7894, 5.71,STAR K2III,1.27,,,,
HR 5050,66    Vir,201.1383,-5.1639, 5.75,STAR F3V,0.42,,,,-0.04
HR 5051,Iot2Mus,201.8262,-74.6919, 6.63,STAR B9V,-0.06,,,,-0.24
HR 5052,,200.975,37.0339, 6.07,STAR M3III,1.68,,,,
HR 5053,,201.1271,12.4319, 6.44,STAR K0III,1.06,,,,0.91
HR 5054,79Zet UMa,200.9812,54.9253, 2.27,STAR A1V,0.02,,-0.02,,0.03
HR 5055,79Zet UMa,200.985,54.9217, 3.95,STAR A1,0.13,,,,0.09
HR 5056,67Alp Vir,201.2983,-11.1614, 0.98,STAR B1III,-0.23,,-0.24,,-0.93
HR 5057,,201.2779,23.8544, 5.78,STAR A3IV,0.06,,,,0.08
HR 5058,,201.5325,-39.7553, 5.09,STAR K0III,1.2,,,,1.02
HR 5059,,201.5475,-1.1925, 5.97,STAR A7III,0.19,,,,0.13
HR 506,,25.6221,-53.7406, 5.52,STAR F9V,0.53,,,,0
HR 5060,,201.7337,-41.4981, 5.69,STAR K3III,1.47,,,,
HR 5061,,201.7762,-49.1439, 6.31,STAR A0III,,,,,
HR 5062,80    UMa,201.3062,54.9881, 4.01,STAR A5V,0.16,,0.07,,0.08
HR 5063,,201.8367,-49.3808, 6.28,STAR B3IV,-0.12,,,,-0.69
HR 5064,68    Vir,201.68,-12.7078, 5.25,STAR M0III,1.52,,0.87,v,1.75
HR 5065,,201.8112,-40.1631, 6.40,STAR G8III,0.98,,,,
HR 5066,,202.1933,-69.6281, 6.20,STAR A0,0.02,,,,-0.42
HR 5067,,201.5692,46.0281, 5.88,STAR,0.97,,,,
HR 5068,69    Vir,201.8633,-15.9736, 4.76,STAR K0III,1.09,,0.53,v,1.06
HR 5069,,202.2817,-64.6758, 6.11,STAR A0,0.11,,0.05,,0.05
HR 507,,25.9783,-4.7656, 6.19,STAR K0,1.54,,,,1.9
HR 5070,,201.4996,63.2611, 6.50,STAR G6V,0.74,,,,0.3
HR 5071,,202.355,-51.1653, 5.06,STAR A1V,0.07,,,,0.07
HR 5072,70    Vir,202.1075,13.7789, 4.98,STAR G4V,0.71,,0.39,,0.26
HR 5073,,201.5338,72.3914, 5.79,STAR M1III,1.63,,,,1.9
HR 5074,,201.7692,64.7356, 6.66,STAR F0,0.37,,,,0
HR 5075,,201.7946,64.7194, 7.04,STAR F0,0.39,,,,-0.01
HR 5076,,201.9979,52.7458, 6.34,STAR F0,0.23,,,,0.14
HR 5077,,202.1092,40.7297, 6.47,STAR G8III,0.92,,,,
HR 5078,,202.3121,-1.3644, 6.43,STAR K0III,1.11,E,0.36,,1.11
HR 5079,,202.0488,50.5872, 6.80,STAR F1IV,,,,,
HR 508,109    Psc,26.2325,20.0831, 6.27,STAR G3V,0.75,,,,0.23
HR 5080,,202.4283,-23.2814, 4.97,STAR M7III,1.6,,2.42,v,0.68
HR 5081,71    Vir,202.3042,10.8183, 5.65,STAR K0III,1.05,,,,
HR 5082,,203.3117,-77.5683, 6.48,STAR F6V,0.48,,,,-0.06
HR 5083,,202.1904,50.7183, 6.43,STAR F0IV,0.37,,,,0.05
HR 5084,Kap Oct,205.2312,-85.7861, 5.58,STAR A0,0.18,,,,0.16
HR 5085,,202.1129,59.9458, 5.40,STAR A1V,-0.01,,,,-0.02
HR 5086,,202.5004,7.1789, 6.17,STAR K5,1.47,,,,1.8
HR 5087,,202.49,6.0133, 6.51,STAR K0,0.96,,,,0.59
HR 5088,72    Vir,202.6071,-6.4703, 6.09,STAR F2V,0.33,,,,0.07
HR 5089,,202.7612,-39.4075, 3.88,STAR G9I,1.17,,0.59,,1.03
HR 509,52Tau Cet,26.0171,-15.9375, 3.50,STAR G8V,0.72,,0.47,,0.21
HR 5090,,202.8887,-28.1128, 6.47,STAR A1V,0.1,,,,
HR 5091,,201.7363,78.6439, 5.77,STAR G2III,0.77,,,,0.35
HR 5092,,203.0221,-38.3992, 6.16,STAR K1III,1.04,,,,
HR 5093,,203.3987,-65.6325, 6.37,STAR A0V,-0.02,,,,-0.08
HR 5094,73    Vir,203.0117,-18.7289, 6.01,STAR F0IV,0.18,,0.07,,0.16
HR 5095,74    Vir,202.9913,-6.2558, 4.69,STAR M2III,1.62,,1.16,,1.95
HR 5096,,202.8158,42.1061, 6.08,STAR K2III,1.05,,,,
HR 5097,,203.1496,-28.6928, 5.69,STAR A1V,0.04,,,,
HR 5098,,203.1438,-29.5653, 6.45,STAR F3IV,0.44,,,,0
HR 5099,75    Vir,203.2154,-15.3631, 5.55,STAR K1III,1.23,,,,1.22
HR 51,,3.7271,-9.5697, 5.75,STAR B9V,-0.08,,,,
HR 510,110Omi Psc,26.3483,9.1578, 4.26,STAR G8III,0.96,,0.48,,0.71
HR 5100,76    Vir,203.2421,-10.165, 5.21,STAR K0III,0.96,,0.5,,0.6
HR 5101,,203.2529,-7.195, 6.68,STAR M7III,1.28,,1.86,,0.91
HR 5102,,203.2004,24.3464, 6.11,STAR G8III,0.96,,0.53,,0.7
HR 5103,,203.6204,-48.2722, 6.33,STAR B8III,-0.05,,,,
HR 5104,,203.6817,-33.3108, 6.44,STAR K2III,1.26,,,,
HR 5105,78    Vir,203.5329,3.6589, 4.94,STAR A1,0.03,,-0.03,,0
HR 5106,,203.6687,-13.2144, 5.91,STAR A2,0.02,,,,-0.09
HR 5107,79Zet Vir,203.6733,-0.5958, 3.37,STAR A3V,0.11,,0.06,,0.1
HR 5108,,203.5908,38.7892, 6.37,STAR F0IV,0.21,,,,0.11
HR 5109,81    UMa,203.5304,55.3486, 5.60,STAR A0V,-0.03,,,,-0.09
HR 511,,26.9367,63.8522, 5.63,STAR K0V,0.81,,0.39,,0.4
HR 5110,,203.6992,37.1825, 4.98,STAR F2IV,0.4,,0.3,,0.06
HR 5111,80    Vir,203.8804,-5.3961, 5.73,STAR G6III,0.95,,,,0.66
HR 5112,24    CVn,203.6138,49.0161, 4.70,STAR A5V,0.12,,0.02,,0.11
HR 5113,,204.3008,-61.6919, 5.63,STAR F6V,0.5,,,,
HR 5114,,203.8887,10.2047, 6.49,STAR K1III,1.03,,0.52,,0.9
HR 5115,,204.7996,-75.6839, 6.34,STAR B8IV,0.01,,,,-0.26
HR 5116,,203.8087,44.1969, 6.84,STAR A7III,0.2,,,,0.25
HR 5117,,204.2104,-34.4678, 6.50,STAR K0III,1.03,,,,0.85
HR 5118,,204.275,-44.1433, 5.98,STAR G8III,0.94,,,,
HR 5119,,204.6904,-70.445, 6.10,STAR K3III,1.42,,,,1.73
HR 512,,24.4817,-82.975, 5.87,STAR G2V,0.61,,,,0.1
HR 5120,,204.2017,-26.495, 5.78,STAR A7III,0.22,,,,0.19
HR 5121,,204.3488,-46.4283, 5.90,STAR B8V,-0.12,,,,
HR 5122,,204.5317,-58.415, 6.42,STAR K1III,1.12,,,,0.93
HR 5123,,204.2462,24.6133, 5.74,STAR M2III,1.55,,,,1.85
HR 5124,,204.7046,-57.6231, 6.01,STAR G5I,1.14,,,,
HR 5125,,205.0025,-70.7883, 6.59,STAR K0III,1.3,,,,1.09
HR 5126,,204.1658,49.4867, 6.49,STAR K1III,,,,,
HR 5127,25    CVn,204.365,36.295, 4.82,STAR A7III,0.23,,0.13,,0.09
HR 5128,,204.675,-29.5608, 5.83,STAR F5V,0.4,,,,
HR 5129,,204.5329,14.3017, 6.52,STAR A9V,0.25,,,,0.11
HR 513,,26.4971,-5.7333, 5.34,STAR K4III,1.52,,,,1.88
HR 5130,,205.0454,-64.5769, 5.79,STAR F3III,0.39,,,,0.02
HR 5131,,203.6783,76.5467, 6.57,STAR K5III,,,,,
HR 5132,Eps Cen,204.9717,-53.4664, 2.30,STAR B1III,-0.22,,-0.24,,-0.92
HR 5133,,204.4292,50.7147, 6.48,STAR M2II,1.55,,1.05,,1.66
HR 5134,,204.9987,-49.9503, 6.00,STAR M5III,1.5,E,1.75,,1.15
